Outlet,Title,Text,Prelim-Rating,Human-Rating,URL
indiatimes.com,FM Nirmala Sitharaman's Budget 2024 outlines vision for Viksit Bharat,"To understand the major economic policies it is important to check the various Budget documents.

Finance Minister Nirmala Sitharaman presented the first full Union Budget of Modi 3.0 government on July 23, 2024. The Budget, in Sitharaman’s words, was aimed at making India a developed country by 20247, that is by the year India completes 100 years of Independence.“The people have given a unique opportunity to our government to take the country on the path of strong development and all-round prosperity.In the interim budget, we promised to present a detailed roadmap for our pursuit of ‘Viksit Bharat’,” she said in her Budget 2024 speech in the Parliament.In line with the strategy set out in the interim budget, this budget envisages sustained efforts on the following 9 priorities for generating ample opportunities for all.1) Productivity and resilience in Agriculture2) Employment & Skilling3) Inclusive Human Resource Development and Social Justice4) Manufacturing & Services5) Urban Development6) Energy Security7) Infrastructure8) Innovation, Research & Development and9) Next Generation ReformsTo understand the major economic policies, reforms, measures and ministry-wise break-up of the government’s expenditure and revenue, it is important to check the various Budget documents that the government releases in public domain.These include the Budget speech, the key features of the Budget, the Budget expenditure profile, the Finance Bill, the Memorandum explaining the provisions of the Budget, Ministry-wise summary, Budget outlay on major schemes, Budget at a glance, and the Statements of fiscal policy.Sitharaman indicated that in the coming years, future budgets will expand upon the current priorities and introduce additional measures. The 'economic policy framework' will encompass a more comprehensive elaboration of these plans.This budget outlines a set of targeted initiatives to be launched within the present year, aimed at realizing these priorities and laying the groundwork for transformative shifts. Furthermore, it reiterates and reinforces certain prior announcements, with the objective of bolstering their execution and accelerating our progress towards the vision of Viksit Bharat, she said.Additionally, ahead of the Union Budget the Finance Minister tabled the Economic Survey 2023-24 in the Parliament. The Economic Survey is an important document since it highlights the state of the Indian economy and the prospects ahead.",Center,Center-Right,https://timesofindia.indiatimes.com/business/india-business/fm-nirmala-sitharamans-budget-2024-outlines-vision-for-viksit-bharat/articleshow/112857910.cms
indiatimes.com,Get over LTCG tax shock! 9 booster dosages in Budget 2024 that will reward equity investors handsomely in the long run,"Finance Minister Nirmala Sitharaman presented a landmark Union Budget on July 23, 2024, setting a comprehensive roadmap for a developed India by 2047, a vision named 'Viksit Bharat'. While the government has partially restored the indexation benefit on long term capital gains from property, land and building (indexation phenomenon of India was anyway something unique globally), increasing capital gains tax rate on equity , there are quite a few things of the budget which have gone unnoticed which have the potential to create a better life and good amount of wealth generation for its citizens. However, they have probably got buried in the negative din and also because they are a heavy read, too voluminous for most of us to go through.We all know that India is the fastest growing major economy in the world, growing at a high GDP rate for the past four years, despite plenty of global and local disruptions. The current budget has tried to further strengthen the economy to sustain this high growth rates in the long term. To be able to do that, the Govt has identified nine priority areas which, as per the Govt, will continue to figure in the next budgets for the Govt's rest of the term. These areas point at parts of the economy which continue to remain weak or need a booster growth dose to enable the march to the goal of 'Viksit Bharat' by 2047. I have tried to capture their essence in this article.Before I go ahead, a normal question that could be asked - ""that's something which is not happening in 'my world', how does it concern me?"" This is so because a large number of us seem unable to make connections between what's happening in the economy at large and the money that they have made from their equity and mutual fund investments.We all have seen the great infrastructure buildout that's happening - it could remind one of the infra push in the USA in 20th Century. And this has happened while maintaining a good fiscal balance, and a good growth rate despite Covid and so many other challenges. No other large economy around the world has managed to do so.So, anybody with some interest in equity investing or having benefited from it in the past two years would've seen how our equity CAGR (Compounded Annual Growth Rate) has inched up to really impressive numbers. This is 'India Tailwind' for almost all of us who may have some misconceptions about our own self being great investors or stock-spotters. It is in fact the strength of Indian economy which has made stock markets go up.Coming back to the start point, let us see what is the Govt aiming to go ahead with which has a big potential to ensure that the economy continues to do well making the stock markets remain strong and equity investors continuing to gain from its long-term uptrend.The budget addresses low productivity in agriculture, aiming to enhance yield through research and innovation. Plans include releasing 109 high-yielding and climate-resilient crop varieties, promoting natural farming for one crore farmers and implementation of Digital Public Infrastructure (DPI) in agriculture.Recognizing the demographic dividend, the budget focuses on skilling and employment. Three 'Employment Linked Incentives' schemes based on EPFO enrolment will be launched, with a target to generate 4.1 crore jobs over the next five years and an allocation of Rs 2 lakh crore. Additionally, Rs 1.48 lakh crore is allocated for skilling 20 lakh youth, upgrade 1,000 industrial training institutes and offer internship opportunities in 500 companies for one crore youth, who will receive a monthly allowance of Rs 5,000.The budget adopts a saturation approach to education and health, with continued support for craftsmen, artisans, self-help groups, and marginalized communities through schemes like PM Vishwakarma, PM SVANidhi, National Livelihood Missions, and Mudra loans.To boost the MSME sector, the budget introduces initiatives such as the Rs 5 lakh crore Emergency Credit Line Guarantee Scheme to help MSMEs enhance their global competitiveness. Plans include the development of ""plug and play"" industrial parks, rental housing for industrial workers, and increased Mudra loans.Urban development envisions 'Cities as Growth Hubs' through economic and transit planning, with a focus on developing peri-urban areas, Transit Oriented Development, more housing under PM Awas Yojana Urban, and efficient rental housing markets.Energy security policies will balance employment, growth, and environmental sustainability, with initiatives like PM Surya Ghar Muft Bijli Yojana, Pumped Storage Policy, and the development of small and modular nuclear reactors.Infrastructure development remains a priority, with significant allocations for roads, highways, railways, airports, and more. Long-term interest-free loans to states, market-based financing frameworks, and private sector participation will support infrastructure creation.Innovation and R&D will be scaled up through the Anusandhan National Research Fund and a Rs 1 lakh crore financing pool for private sector-driven research and innovation. The space economy will be expanded with a Rs 1,000 crore venture capital fund.Next-generation reforms will improve productivity of factors of production and enhance market efficiency. The government will formulate an Economic Policy Framework to guide these reforms, emphasizing the digitization of land records and proper mapping of urban and rural land.Overall, the Union Budget 2024 is a forward-looking document aimed at sustaining high growth rates and addressing challenges to achieve the goal of 'Viksit Bharat' by 2047. Through strategic investments in agriculture, employment, manufacturing, urban development, energy security, infrastructure, innovation, and next-generation reforms, the NDA Government aims to propel India towards becoming a developed nation. This ambitious roadmap is poised to boost investor confidence and drive robust equity markets, heralding a new era of economic prosperity in India.(The article is written by Col Sanjeev Govila (retd), Certified Financial Planner, CEO, Hum Fauji Initiatives, a financial advisory firm.)",Center,Center-Right,https://economictimes.indiatimes.com/wealth/invest/get-over-ltcg-tax-shock-9-booster-dosages-in-budget-2024-that-will-reward-equity-investors-handsomely-in-the-long-run/articleshow/112399195.cms
indiatimes.com,"Budget 2024 has nothing for middle class, says Congress MP as Lok Sabha takes up Finance Bill","

The Union Budget for 2024-25 has nothing for the salaried class , and the middle class, and it neither addresses the issue of unemployment nor takes any step to reduce out-of-pocket expenditure for households, Congress MP Amar Singh said in the Lok Sabha on Tuesday. Initiating the debate on the Finance Bill , the Fatehgarh Sahib MP said it appears in the Budget that the Union government was taxing the poor, while sparing the rich.""From what the government has proposed, it appears the Centre intends to take away every single rupee from the salaried class, the common man, while the rich are being spared,"" Singh said.""If we look at Income Tax, the tax on individuals is 19 per cent of total tax, while the corporate tax is 17 per cent. Why is the income tax more? In every way, you are increasing individual tax, and bringing down the corporate tax. Who is the government working for?"" he asked.He said the World Inequality Report has revealed that one per cent of the richest people in India have 40 per cent of the wealth, and accused the government of benefitting the higher income groups.""I want to suggest the finance minister. Around 70 per cent Income Tax Returns have nil tax... Exempt those up to Rs 5 lakh income, it will increase public consumption and reduce poverty,"" he said.He questioned whether the exemptions given by the government to the corporate have generated any jobs.""The government provides relaxations so that employment is generated. The government should tell how much employment has been generated through these corporate concessions. It's not right that you keep giving concession while no employment is being generated,"" he said.He said the Economic Survey has said India needs to generate an average of nearly 78.5 lakh jobs annually until 2030 in the non-farm sector to cater to the rising workforce.""We need some relief in this Budget. CRISIL report shows household savings have come down to 18.3 per cent, this is a decadal low... financial liabilities are at all-time high,"" he said.""It means people are facing hardships in day-to-day expenditure. Consumption is not increasing because liabilities are high,"" he said.He also claimed the finance minister said nothing about food inflation which is at 10 per cent.""Around 50 per cent of the population depends on agriculture, and income through agriculture is 18.4 per cent of the GDP... This means 50 per cent population is surviving on 18 per cent income,"" he said.""This is the reason behind the problems in the agriculture sector, whether it is farmers suicide, or the protests,"" he added.He also questioned what the government was doing on its promise for a law guaranteeing a minimum support price (MSP) on crops to farmers who protested against the now-scrapped farm laws.BJP MP Nishikant dubey, meanwhile, welcomed the Budget and called it ""historic"".""Across the world, economies are growing at 2.5 per cent to 2.7 per cent. India is a ray of hope for the world,"" he said, lauding Prime Minister Narendra Modi, and Finance Minister Nirmala Sitharaman for it.""We are working towards the goal of a developed India by 2047,"" he said.Dubey said the NDA government has proposed to abolish angel tax, as it is competing with Singapore and Abu Dhabi, adding that it will generate employment.He further attacked the Congress over its demand for a caste census.""I want to ask the Congress, many people in this country do not believe in religion, caste... how will they participate in caste-based census?"" he said.Dubey also said he has with him the Congress manifestos from 1952 to 1990, and claimed it said the party was against OBC reservation. He also alleged that the Congress wants to bring reservations for Christians and Muslims through ""backdoor"".",Center,Center-Left,https://economictimes.indiatimes.com/news/politics-and-nation/budget-2024-has-nothing-for-middle-class-says-congress-mp-as-lok-sabha-takes-up-finance-bill/articleshow/112319335.cms
indiatimes.com,Budget 2024 proposed 10% TDS on government bonds: You can still pay lower or zero TDS with this certificate,"How to reduce or eliminate deduction of TDS from government bonds





How to get a lower or nil TDS certificate



What will be the impact of TDS being levied on government bonds

Which investors may be more impacted due to levy of TDS on government bonds

Does it matter where you buy government bonds from- stock market or RBI?

In Budget 2024 , it was announced that starting from October 1, 2024, tax deducted at source (TDS) will be deducted at a 10% rate from specified central and state government bonds , including floating rate bonds.""In the Union Budget 2024, the Government has proposed a 10% TDS on all central government securities , state government bonds, and state development loans (SDLs), effective from October 1, 2024,"" says Vijay Kuppa, CEO, InCred Money. This move is likely to have a big adverse impact on investors who primarily depend on the interest earned from such government securities.The Floating Rate Savings Bond will come under this new TDS rule. ""Budget 2024 proposed to amend Section 193 of the Income Tax Act, 1961 by levying TDS on Floating Rate Savings Bond, 2020 (Taxable) or any other security of the Central Government or State Government as the Central Government shall notify,"" says Atul Puri, Managing Partner and Co-Founder at SW India.According to Puri, if your income tax assessing officer (AO) grants you a lower or nil TDS certificate, then you will not be required to pay 10% TDS on the interest earned on government bonds.""As per section 197 of the Act, in a case where TDS is required to be deducted under section 193 of the Act and assessing officer is satisfied that the total income of the recipient justifies deduction of income-tax at a lower rate or no deduction of income-tax, as the case may be, the AO shall, on an application made by the Assessee, give him/her such certificate as may be appropriate for lower or Nil deduction of tax. Hence, the option of lower or Nil deduction certificate can be availed by the investor in case of such investments,"" says Puri from SW India.The AO will not automatically grant this lower or nil TDS certificate, if you think you should get a lower or nil TDS, then you need to present your case before him/her. If only the AO is satisfied with your case, then the certificate is given. The AO will evaluate the estimated tax liability on the current financial year's projected income and the tax liabilities from the previous financial years.""The Assessing Officer will take into consideration any advance tax payments, TDS, and tax collected at source (TCS) for the current financial year up to the application date. If the AO determines that the estimated tax liability is NIL or negligible and the application of the standard TDS/ TCS rates is unnecessary, a certificate specific to the deductor and the service/ section will be issued under section 197 for NIL or lower TDS. The validity of the certificate will be from the date of issuance until the end of the financial year, unless the AO revokes it before its expiration,"" says Professor Arunava Bandyopadhyay, Assistant Professor - Finance, International Management Institute Kolkata (IMI Kolkata).An alternative way to eliminate TDS being deducted from government bonds is by submitting Form 15 G/H if your income is below the basic exemption limit -- which is Rs 2.5 lakh under the old tax regime and Rs 3 lakh under the new tax regime for a person below the age of 60""As per Section 197A(1A) and 197A(1C), no deduction of tax shall be made under section 193 in case of a person (not being a company or a firm), who furnishes Form 15G/H and declare that his/her total income does not exceed basic exemption limit. Hence, investors can submit Form 15G/H to prevent deduction of TDS,"" says Puri.According to Bandyopadhyay from IMI Kolkata, Section 197 facilitates taxpayers to apply for a lower TDS certificate or an exemption from TDS. Individual taxpayers without any business income can initiate an online application on the TRACES portal.""The applicant must complete and submit the prescribed form number 13 along with all supporting documents, which includes income computation for the current financial year, tax returns for previous financial years, and other relevant evidence as required on a case-to-case basis. To ensure faster processing, it is advisable to complete the form with accurate details. If the Assessing Officer is satisfied with the application and the documents provided, a certificate for lower deduction or non-deduction of TDS will be issued,"" says Bandyopadhyay.According to Kuppa, the government's decision to levy TDS on government bonds means that the interest you receive (on such notified government bonds) will be subject to TDS deduction.Kuppa explains with an example. Consider a central government bond, such as the 07.10 GS 2034. If you purchase 1,000 units (post October 1, 2024) with a face value of Rs 100 (total investable amount of Rs 1 lakh), and the interest is paid semi-annually, you will receive a coupon interest payment of Rs 3,550. With the new 10% TDS being levied on such interest, Rs 355 will be deducted, resulting in a payment of Rs 3,195 as interest.In order to receive the amount of TDS deducted, you (deductee) need to file the income tax return (ITR) for the relevant financial year in which the TDS was deducted. ""An investor can claim the benefit of TDS so deducted in their income tax return. The amount of interest paid / credited, and TDS deducted will be reflected both in AIS and Form 26AS of the deductee. It is very clear that TDS is required to be deducted only on the income earned as interest and not on the principal value,"" says Puri.According to chartered accountant Manoj Dembla, who has over 30 years of experience in finance, accounting, taxation, and insolvency, ""Income from Government Bonds, i.e. interest on Securities, is subject to TDS @10% and taxed at normal rates, but if you buy and sell it resulting in capital gains, then if the same is held and sold in less than a year, it will be taxed as Short Term Capital Gains (STCG) and if it’s sold after holding it for more than a year, it will be taxed as Long Term Capital Gains (LTCG) @12.5%.""According to Kuppa, if you rely on government bonds for a consistent interest income as an investor, you may be particularly affected by the government's decision.""This change may impact investors who depend on the regular interest income from these securities, potentially disrupting their cash flow. However, it is likely to be a short-term reaction, with investors eventually adapting their investment strategies accordingly. There is a remote possibility that investors can move to Mutual funds to invest in Gilt funds which has a government securities as its underlying,"" says Kuppa.Experts suggest that the government's decision to impose TDS on government bonds aims to ensure that this type of investment is on par with other bonds.""TDS is levied on interest on Corporate Bonds at 10%. TDS on corporate bonds was levied in 2023, while Government securities and State government bonds were kept out of its ambit. The government has made this move with the expectation of bringing all instruments at par from a taxation point of view,"" says Kuppa.As per Puri, section 193 states that the person responsible for paying a resident any income by way of interest on securities will, at the time of crediting such income to the account of the payee or at the time of payment, whichever is earlier, deduct income-tax.""Accordingly, there is no difference in withholding tax provisions, whether we buy from RBI Retail Direct or from the stock market,"" says Puri. This means that the TDS mechanism will remain the same regardless of how you buy the bond.",Center,,https://economictimes.indiatimes.com/wealth/tax/budget-2024-proposed-10-tds-on-government-bonds-you-can-still-pay-lower-or-zero-tds-with-this-certificate/articleshow/112290303.cms
indiatimes.com,"Changes in LTCG tax post Budget 2024: Higher tax rate with indexation benefits, grandfathering for ancestral properties being considered?","The industry is suggesting alternatives such as a higher tax rate with indexation or a lower rate of 12.5% without indexation, as well as some form of grandfathering for ancestral properties.

Gradual Change in LTCG Regime?

Budget 2024 capital gains tax changes: The Narendra Modi government is considering suggestions for tweaks in the new long term capital gains tax regime that was announced by FM Nirmala Sitharaman in Union Budget 2024.The July 23 budget reduced the LTCG tax on property from 20% to 12.5%. The indexation benefit, which allowed taxpayers to adjust the acquisition cost for inflation before calculating capital gains and thus reduce their tax liability, is proposed to be eliminated for properties purchased on or after April 1, 2001.The government publishes the Cost Inflation Index (CII) annually for this calculation.India Inc is appealing to the government for a gradual shift to the long-term capital gains tax regime proposed in the FY25 budget, which aims to eliminate indexation benefits for property, gold, and other unlisted assets.According to an ET report by Deepshikha Sikarwar, the industry is suggesting alternatives such as a higher tax rate with indexation or a lower rate of 12.5% without indexation, as well as some form of grandfathering for ancestral properties.The finance ministry is currently reviewing these proposals and will discuss them with the Prime Minister's Office. The final decision will be made closer to the date when the Finance Bill reply is to be presented in Parliament, the reports said.Industry groups are expected to submit formal proposals to the finance ministry in the near future. ""We are proposing that some time be given to taxpayers for transition,"" said an official with a leading industry lobby group.Also Read | New Budget 2024 rule: Why Income Tax Department is likely to issue a huge number of tax notices this month The finance ministry has already conducted one round of discussions regarding the concerns raised by various stakeholders about the move, including the potential increase in black money transactions.""Since the sudden transition to a new capital gains regime impacts existing properties held by taxpayers, the amendment has a retroactive impact for such taxpayers,"" said an official with another industry body supporting a transition regime.The proposed suggestions include giving the seller of a property the option of either a 20% LTCG rate with indexation or a 12.5% LTCG rate without that benefit.""As per tax policy diligently followed by the current government, any drastic change in regime has been made in a gradual manner, by providing options to taxpayers to choose between the old regime and new regime,"" said Sudhir Kapadia, senior advisor at EY, supporting the suggestion.Also Read | How Budget 2024 announcements will spur balanced growth of real estate sector He cited examples such as domestic companies having the choice between a concessional 22% tax rate under Section 115 BAA without incentives and deductions, or the normal 30% tax rate after claiming permitted tax incentives and deductions, as well as individual taxpayers having the choice between two separate tax regimes—one with deductions and the other without. ""Such an option existed in Income Tax Section 112 since AY (assessment year) 2000-1 for listed securities (other than units),"" he pointed out.",Center,,https://timesofindia.indiatimes.com/business/india-business/changes-in-ltcg-tax-post-budget-2024-higher-tax-rate-with-indexation-benefits-grandfathering-for-ancestral-properties-being-considered/articleshow/112214106.cms
indiatimes.com,Budget 2024 adopts multifaceted approach to bolstering manufacturing sector,"By Saurabh Agarwal and Mohit Sharma

inter alia

(Saurabh Agarwal is Partner, EY India and Mohit Sharma is Director, EY India)

Budget 2024 for manufacturing sector : The recent Union Budget has struck a balance between fiscal consolidation and stimulating economic growth. While the middle class has been offered tax relief, the government's primary focus remains on judicious spending to maximize economic impact. The budget's core themes are employment, skilling, MSME development, and support for the middle class.Largely focus has remained intact on spending money judiciously to ensure that each penny spent creates a ripple effect in the entire economic landscape.Although at first glance, manufacturing might appear to have taken a backseat, a deeper analysis reveals a multifaceted approach to bolstering the sector. Initiatives like employment-linked benefits and internship programs, while primarily aimed at job creation and skill development, indirectly benefit manufacturing companies by expanding the talent pool.Extensive focus on the MSME manufacturing units by way of extending term loan facility for purchase of machinery and equipment without collateral or third-party guarantee, would help companies in augmenting their capital base/ capacity and strengthen the very foundation of the manufacturing ecosystem in the country. Development of a new credit-assessment model by Public Sector Banks to assess MSME credit shall provide much needed regulatory relief to the units.With respect to the large manufacturing entities, while there is no direct fiscal/ tax incentive introduced in this budget, some support has been provided with an extensive focus on development of ‘industrial parks’ in nearly 100 cities under the ‘plug and play’ model. Reforms proposed with respect to land administration, planning and management, shall also ease out acquisition related difficulties often faced by entrepreneurs/ business houses in acquiring lands for manufacturing set-ups.Targeted Customs duty interventions like, rationalization of Customs duty provisions in Mobile phone manufacturing setups, extension of Customs duty exemption on import of capital goods for manufacturing of solar cells and panels, full Customs duty exemption on import of 25 critical minerals,, shall provide the required impetus for enhancing domestic manufacturing environment.Governments’ focus on formulating an Economic Policy Framework to set the scope for next-gen reforms in the country, has a target to improve the productivity of factors of production, namely, land, labour, capital, entrepreneurship and technology. This shall pave the way for enabling achievement of a target of 25% manufacturing sector contribution to the nation’s GDP over the course of next 7-10 years.While the overall outlook is positive, the extension of tax benefits under Section 115BAB for manufacturing entities and the absence of new PLI schemes are notable omissions.The country’s manufacturing base is expanding as is reflective from the continuously increasing tax collections and expanding Purchasing Manager’s Index. It would be pertinent to see how the ground realities evolve vis-à-vis the vision envisaged, in the upcoming Financial Year.",Center,,https://timesofindia.indiatimes.com/business/india-business/budget-2024-adopts-multifaceted-approach-to-bolstering-manufacturing-sector/articleshow/112216383.cms
indiatimes.com,FM Nirmala Sitharaman speaks on the Union Budget 2024 in Rajya Sabha | Live,"Find this comment offensive?

Choose your reason below and click on the Report button. This will alert our moderators to take action

Name

Reason for reporting:

Foul language

Slanderous

Inciting hatred against a certain community",Center,,https://economictimes.indiatimes.com/news/india/fm-nirmala-sitharaman-speaks-on-the-union-budget-2024-in-rajya-sabha-live/videoshow/112165258.cms
indiatimes.com,Breaking down Budget 2024 - Financial impacts on the common man,"(You can now subscribe to our ETMarkets WhatsApp channel

(This article is generated and published by ET Spotlight team. You can get in touch with them on etspotlight@timesinternet.in)",Center,Center,https://economictimes.indiatimes.com/markets/breaking-down-budget-2024-financial-impacts-on-the-common-man/articleshow/112160998.cms
indiatimes.com,Budget 2024 three times UPA's last Budget in 2014: PM Narendra Modi at CII post-Budget conference,"Budget 2024: Prime Minister Narendra Modi on Tuesday addressed a CII post- Budget 2024 conference, stating that in 10 years, his government has tripled India’s Budget. The last Budget presented by the Manmohan Singh government in 2014 was of Rs 16 lakh crore. Ten years later, the Union Budget 2024 presented by us a few days ago is Rs 48 lakh crore, which is three times, Modi said.Modi also said that the capital expenditure allocation under his governments has grown manifold.""Capital expenditure is called the biggest productive medium of resource investment,"" he said at the ‘Journey Towards Viksit Bharat: A Post Union Budget 2024-25' conference. In 2004, the capex allocation of UPA’s first Budget was Rs 90,000 crore. This increased to only Rs 2 lakh crore in the last UPA budget in 2014, Modi said. At present the capex allocation is over Rs 11 lakh crore, Modi added. Modi pointed out that the capex allocation of railways and highways has become 8 times under his government. PM Modi said that India, which is currently the world’s fifth largest economy, will soon become the third largest. He also noted the time when India had been ranked among the ‘Fragile Five’ economies in the world. Modi said that his governments have progressively helped India move from a state of vulnerability to a place of strength.PM Modi also said that in a world where most economies are struggling with low growth and high inflation, India stands out as an economy which is seeing high economic growth and low inflation. He also said that India's fiscal prudence has become an example for the world to see.Modi spoke of the government's initiatives to transform the manufacturing sector of the economy with steps like 'Make in India', Production Linked Incentive (PLI) schemes, liberalisation of FDI norms, setting up of multi-modal logistics hubs.Finance Minister Nirmala Sitharaman presented the first Union Budget of the newly elected NDA government on July 23, 2024.",Center,,https://timesofindia.indiatimes.com/business/india-business/budget-2024-prime-minister-narendra-modi-address-at-cii-post-budget-conference-top-takeaways-highlights/articleshow/112129118.cms
indiatimes.com,FM Nirmala Sitharaman speaks on the Union Budget 2024 in Lok Sabha | Live,"Find this comment offensive?

Choose your reason below and click on the Report button. This will alert our moderators to take action

Name

Reason for reporting:

Foul language

Slanderous

Inciting hatred against a certain community",Center,,https://economictimes.indiatimes.com/news/et-tv/fm-nirmala-sitharaman-speaks-on-the-union-budget-2024-in-lok-sabha-live/videoshow/112137766.cms
