Outlet,Title,Text,Prelim-Rating,Human-Rating,URL
hindustantimes.com,"Budget 2024–25: Empowering women, advancing social justice","The Union Budget 2024–25 epitomises the government’s commitment to balancing high capital expenditures with robust welfare spending. This budget is designed to empower every section of society, driving socio-economic growth and development across the nation. It will empower every section of society. It reflects the government's dedication to ensuring that all Indians, irrespective of religion, caste, gender, and age, make substantial progress in realising their life goals and aspirations. The government has placed a strong emphasis on inclusive growth, focusing on four major segments of society: Garib (poor), Mahilayen (women), Yuva (youth), and Annadata (farmers). Women leadership (Photo by Pinterest)

Despite global economic uncertainties, including elevated asset prices, political instability, and shipping disruptions, India’s economic growth remains a beacon of stability. India's inflation remains low and stable, moving towards the 4% target, with core inflation (non-food, non-fuel) currently at 3.1%. Proactive government steps to ensure adequate market supplies of perishable goods have contributed significantly to this stability.

The budget marks a significant stride in promoting socio-economic development, with a strong focus on women's empowerment and social justice. The ministry of women and child development's budget has increased by 3%, from ₹25,449 crore in FY 23–24 to ₹26,092 crore in FY 24–25. Meanwhile, the department of social justice and empowerment has seen a substantial 32% increase, from ₹9,853 crore in FY 23–24 to ₹13,000 crore in FY 24–25. The budget for the department of empowerment of persons with disabilities remains unchanged at ₹1,225 crore.

The government has allocated over ₹3 lakh crore for schemes benefiting women and girls, aiming to foster women-led development. This historic allocation emphasises the government's commitment to empowering women and enhancing their role in the workforce. Key initiatives include the establishment of working women hostels in collaboration with industry partners and the creation of creches to facilitate higher participation of women in the workforce. These hostels will provide safe and convenient living arrangements for working women, while creches will support working mothers by offering reliable childcare services.

Furthermore, the government plans to partner with industries to organise women-specific skilling programmes and promote market access for women-led Self-Help Group (SHG) enterprises. These initiatives are designed to equip women with the skills needed to thrive in the workforce and support their entrepreneurial ventures, thereby driving economic growth and development.

To achieve social justice comprehensively, the government will adopt a saturation approach, ensuring that all eligible individuals are covered by various programmes, including those focused on education and health. This approach aims to empower marginalised communities by improving their capabilities and providing them with the tools needed to succeed.

Mission Shakti, a flagship initiative aimed at the empowerment of women, comprises two key components: Sambal and Samarthya. The budget for Sambal, which includes schemes for the safety and security of women, has increased from ₹462 crore in FY 23–24 to ₹629 crore in FY 24–25. This funding boost will enhance efforts to protect women from violence and ensure their safety in public and private spaces.

Samarthya, focused on the empowerment of women, has seen its allocation rise from ₹1,864 crore in FY 23–24 to ₹2,517 crore in FY 24–25. This increased funding will support various initiatives aimed at empowering women through education, skill development, and economic opportunities. By investing in these programmes, the government is fostering an environment where women can thrive and contribute to the nation's growth.

The government is committed to all-round and all-inclusive development, with a particular focus on enhancing welfare programmes for marginalised communities and improving infrastructure for social services. Central sector schemes, such as the Scholarships for Higher Education for Young Achievers Scheme for Scheduled Castes, are among the focus areas of the budget. These initiatives aim to provide educational opportunities and support to underprivileged communities, enabling them to break the cycle of poverty and achieve their full potential.

The budget underscores the government's dedication to women's empowerment and social justice. With the highest allocation for women-centric schemes in over a decade, the budget reflects a clear vision of women-led development and economic empowerment. By increasing the participation of women in the workforce, providing skilling programmes, and enabling greater market access for women SHGs, the government is paving the way for a more inclusive and equitable society.

In addition to empowering women, the budget's focus on social justice initiatives ensures that marginalised communities receive the support they need to thrive. The increased funding for critical programmes and the adoption of a comprehensive approach to social justice demonstrate the government's commitment to creating a more just and equitable society for all.

As India continues to progress towards becoming a developed nation, the budget serves as a testament to the government's unwavering commitment to fostering inclusive growth and empowering all citizens, regardless of their gender or socio-economic status.

This article is authored by Veerendra Mishra, external advisor, National Commission for Women and founder, Samvedna.",,Right,https://www.hindustantimes.com/ht-insight/economy/budget-2024-25-empowering-women-advancing-social-justice-101723786176612.html
hindustantimes.com,Budget 2024-25: India's energy transition plan,"India, targeting a $7 trillion economy and decarbonisation target by achieving 500 GW of fossil-fuel free generating capacity by 2030, needs a well-rounded strategy that harmonises economic development with environmental sustainability. To reach India’s goal of achieving 50 percent of its total installed power generation capacity come from non-fossil fuel sources by 2030, India must install approximately 50 gigawatts (GW) of renewable energy capacity annually for the next five years, starting in 2024. Currently, India has only been able to add around 15 GW per year. The union budget 2024-25 identified energy as a priority sector, with an overall allocation of an estimated ₹68,769 crores, a significant decrease from the previous year's allocation of ₹94,915 crores. The budget emphasises the development of new strategies for strengthening the transition to renewable energy sources and promoting energy security in terms of “accessibility, affordability, and availability.” Wind energy plant (AP)

The Union budget has announced several initiatives including pumped storage, nuclear and thermal plants. The growth of nuclear energy in the form of small modular reactors has been emphasised, with the government planning to make it a significant portion of the energy mix for Viksit Bharat. To facilitate this, the government plans to partner with the private sector to set up Bharat Small Reactors and aims to enhance the research and development of Bharat Small Modular Reactors and newer nuclear technologies.

Although small modular reactors represent an opportunity for India to augment its energy capacity, its development along the lines of accessibility, affordability and availability could pose challenges in future, raising questions about the feasibility of the initiative. Estimates by Now Solar, an India focused renewable energy advisory and management organisation, indicate that small modular nuclear reactors are expected to be the most costly source of power and are unlikely to be available before 2030. Although a bold initiative aimed at expanding the nuclear energy component in the energy mix of India, questions regarding its economic viability remain unanswered. Over the years, nuclear policies have predominantly centred on large nuclear reactors, with no initiatives in place to foster demand and create a level playing field for new market entrants. Additionally, some nuclear reactors are under International Atomic Energy Agency Safeguards due to their use of imported uranium. Without policies to stimulate market demand, this initiative risks becoming another failure. Programmes and schemes aimed at gradually phasing out fossil fuels such as harnessing of wind energy and integration of compressed biogas into the natural gas failed to receive a mention in the budget speech. The focus on nuclear energy also raises questions on the potential sidelining of such projects in the future.

The interim budget included numerous announcements to promote green growth, with rooftop solarisation receiving a modest mention. In line with the interim budget announcement, the Pradhan Mantri Surya Ghar Muft Bijli Yojana was launched to install rooftop solar plants in 1 crore households, providing up to 300 units of free electricity per month. This scheme has seen significant interest, with over 1.28 crore registrations and 14 lakh applications, as disclosed by the finance minister in the recent budget speech. The applications received account for only about 11% of total registrations, largely because the final approval for installing solar rooftops lies with the respective state electricity boards. The capacity of solar plants depends on the transformer capacity of the area, making it challenging for state electricity boards to approve the applications. The state electricity boards, with their existing grid capacity, will not be able to approve the installations until there is an upgrade in the grid infrastructure.

The celebrated FAME Scheme, which has significantly multiplied electric vehicle (EV) registrations in the country to over 13 lakhs, is seeing a reduction in budget allocation. According to the budget estimates, the allocation for the upcoming fiscal year is 2,671 crores, as against 5,171 crores in the previous financial year. However, players can breathe a sigh of relief with the exemption of customs duties on lithium and cobalt, the two main components for lithium-ion batteries. This could pave the way for localised manufacturing of batteries for electric vehicles, significantly reducing production costs and eventually making the process more cost-effective. While the boost for incentives for electric vehicles is beneficial in cutting down the tail-end emissions, there is a downside. With the increasing private vehicular population, governments often overlook the importance of public transport, particularly the rollout of electric buses. The allocations for electric buses in the union budget remained the same as those in the interim budget. To reduce overall private vehicle congestion and address vehicular pollution, there should be more focus on promoting electric buses compared to private electric vehicles. Increasing the number of buses and reducing private vehicle use can lead to a reduction in overall emissions.

Overall, while promoting economic growth along with a phased transition to renewable energy sources, presents opportunities for making India a hub of energy security by 2030, a much-anticipated year in the discourse of global sustainable development. However, the budget seems to fall short in providing clear insights into the prolonged advancement of the anticipated schemes. There is uncertainty whether these schemes will achieve their intended long-term goals due to the absence of continued and sustainable allocations in the budget. The prospect of nuclear energy gaining a focal point over the other established sources of renewable energy, despite concerns about its cost, availability and safety exemplifies the same. The inconsistent allocations across different schemes create confusion, creating a disconnect between the energy aspirations and the pronounced goals. While the budget speaks of new volumes for the advancement of sustainability, the success of the various announced schemes can only be determined with time.

This article is authored by Anu Anna Jo, senior associate and Aamina Ibrahim, research intern, CPPR.",,Center,https://www.hindustantimes.com/ht-insight/economy/budget-2024-25-indias-energy-transition-plan-101723285508424.html
hindustantimes.com,Budget 2024: How removing indexation benefits for capital gains tax on property may impact the Mumbai real estate market,"Mumbai’s resale real estate market is expected to feel the pinch with Budget 2024 doing away with the indexation benefits on long-term capital gains (LTCG) on sale of property. Mumbai’s resale real estate market is expected to feel the pinch with Budget 2024-2025 doing away with the indexation benefit on long-term capital gains (LTCG) on sale of property. (Picture for representational purposes)(Mehul R Thakkar/HT)

According to experts, the Mumbai real estate market is primarily led by buyers who sell small units to upgrade to larger homes. This coupled with the performance of the stock market and the upcoming assembly elections in the state may lead to property transactions cooling off in Mumbai.

Union Budget 2024-2025 proposals

Union Finance Minister Nirmala Sitharaman on July 24 had proposed to do away with the indexation benefit on sale of property, that allowed home owners the benefit of adjusting their gains against inflation. This, say real estate experts, may lead to higher tax burden on real estate transactions and severely impact property sellers.

The long-term capital gains (LTCG) has been reduced from 20% with indexation benefit to 12.5% without indexation for the real estate sector.

What is indexation?

Indexation allows one to adjust the purchase price of an asset for inflation, reducing taxable profits and tax liabilities. Without this adjustment, individuals paying tax may have to pay increased taxes despite the lower LTCG rate.



What does this mean for the Mumbai real estate market?

According to real estate experts, removal of indexation will slow down sales in the secondary market, also known as resale market in metro cities, including the Mumbai real estate market.

""The overall real estate market in Mumbai and other metro cities might be affected wherein resale transactions may slow down in the secondary market, not only in Mumbai but also in other metro cities. The mid-segment market, specifically in the range of ₹2 to ₹5 crore might be impacted and even investors might put their decision to sell on hold. Investors will now wait and watch before exiting from the property market now. Having said this, it depends on individual investment goals,” said Ritesh Mehta, Senior Director, and Head (North and West), residential services and developer initiative, JLL India, a real estate consultancy firm.

""However, it also depends on how the Indian stock market performs in the coming months. Real estate transactions are also connected with the performance of the Indian stock market,"" he added.

Another expert not wishing to be named said, ""The mid-segment and luxury segment of Mumbai real estate market is already overheated and is likely to cool off in the coming months. While we cannot say that there will be a drastic downfall, the market will reflect these changes.""

""The state of Maharashtra is expected to go for polls in the next two to three months and hence there will not be too many transactions by investors. Investors, including developers, are in a wait-and-watch mode and therefore we may see some stagnancy. While we do not see any slowdown and properties are getting registered, we have to understand that these deals were finalized in the last 90 days. Typically, the real impact of removal of the indexation benefit may be felt over the next six to nine months.""

On an average, the Mumbai real estate market has reported over 10,000 property registrations on a monthly basis of which 80% of the property registrations are in the residential segment. Experts opine that out of these 80%, a significant portion of homebuying happens on account of buyers upgrading their homes, especially post Covid-19.



Higher taxation may lead to short term disruption in the secondary real estate market

Vivek Rathi, National Director, Research, Knight Frank India, a real estate consultancy firm said, ""There could be a short term impact where the market adjusts itself to the new reality. Eventually market conditions are expected to normalize. There might be a short-term adjustment period as the market adapts to the new conditions. However, market conditions are expected to stabilize over time.""

Rathi added that if the property's value has risen more than the inflation rate, the new 12.5% tax rate is likely to be more favorable for real estate sellers compared to the previous 20% rate after adjusting for indexation.



What does removal of indexation benefit mean for plotted developments?

Investments in plotted developments picked up post Covid-19. However, real estate developers are of the opinion that the impact of changes in LTCG on plotted developments or other real estate segments is similar.

""The House of Abhinandan Lodha (HoABL) has been offering plotted developments for the past three years, and our advice to our customers has been to buy land if you plan to hold it for more than 10 years. However, if investors seek an early exit to meet any contingencies, the reduced LTCG rate from 20% to 12.5%, along with the shortened holding period from three years to two years, makes exit more attractive. While we still recommend long-term holdings, these changes offer greater flexibility for investors,"" said Abhinandan Lodha, chairman, HoABL.

On the impact of removal of indexation benefit on vertical developments, Abhinandan Lodha said that the “vertical real estate market, particularly in metros, has generally provided single-digit compounded returns and hence investors and HNIs looking to exit now will benefit from the reduced tax rate of 12.5%.""",,Center-Right,https://www.hindustantimes.com/real-estate/budget-2024-how-removing-indexation-benefits-for-capital-gains-tax-on-property-may-impact-the-mumbai-real-estate-market-101722826702109.html
hindustantimes.com,Finance minister Nirmala Sitharaman to reply to concerns about Union Budget 2024 in Lok Sabha today,"Finance minister Nirmala Sitharaman will respond to concerns raised about the Union Budget 2024 in Lok Sabha on Tuesday, July 30. Nirmala Sitharaman will also reply to questions regarding the Finance Bill 2024 on August 7. Finance minister Nirmala Sitharaman will address parliament today and reply to concerns raised about the Union Budget 2024(PTI)



Discussions on the Union Budget and the budget of Jammu and Kashmir, are set to continue in both houses of Parliament.



In addition to addressing queries from the budget discussions, the agenda of the parliament includes Nirmala Sitharaman introducing The Jammu and Kashmir Appropriation (No. 3) Bill, 2024.



The bill seeks to authorise the payment and appropriation of certain sums from the Consolidated Fund of the Union territory of Jammu and Kashmir from 2024-25.

On Monday, Leader of Opposition, Rahul Gandhi, critiqued the budget for not addressing demonetisation, high taxation and also took a dig at the ‘halwa ceremony’ conducted by the finance minister.

He said, “The budget halwa is being distributed and in this picture not a single OBC officer is visible. Even a tribal officer and a Dalit officer are not visible. The country's halwa is being distributed and they are not the only ones involved in it.”

Invoking the concept of ‘Chakravyuh’, the Congress MP said that the budget has contributed to the trap of youth facing unemployment, farmers in debt, middle class dealing with tax, MSMEs in tax terrorism, jawans under Agnipath and injustices against SC, ST, OBC and minority communities.

In a post on X he also criticised the lack of focus on education, “The Education budget, at 2.5% it is the lowest in 20 years and at a time when our students are suffering from widespread Paper Leaks, the FM did not deem it fit to even mention the crisis in her speech.”

This is Nirmala Sitharaman's seventh year presenting the Union Budget. The budget session of Lok Sabha is set to conclude on August 12.",,,https://www.hindustantimes.com/india-news/finance-minister-nirmala-sitharaman-to-reply-to-concerns-about-union-budget-2024-in-lok-sabha-today-101722299680567.html
hindustantimes.com,Rajnath Singh Counters Rahul Gandhi's 'Ek Rupaiya' Charge Over Budget 2024 & Agniveer In Indian Army,"Rajnath Singh Counters Rahul Gandhi's 'Ek Rupaiya' Charge Over Budget 2024 & Agniveer In Indian Army

Defence minister Rajnath Singh accused Leader of Opposition Rahul Gandhi of misleading the nation on issues linked to national security and the Agnipath scheme on Monday. He said he was ready to make a statement regarding this in the Parliament. Shortly after Rahul Gandhi attacked the government over the Union Budget, the union minister said the Opposition was trying to create and spread misconceptions about the budget and that finance minister Nirmala Sitharaman would reply to the allegations during her response to the ongoing debate. Watch the video for details.",,Right,https://www.hindustantimes.com/videos/news/rajnath-singh-counters-rahul-gandhis-ek-rupaiya-charge-over-budget-2024-agniveer-in-indian-army-101722284984772.html
hindustantimes.com,Manoj Jha’s Big Attack On Modi Govt’s Budget 2024; ‘Income Inequality & Obscene Wealth…’ | Watch,"Manoj Jha’s Big Attack On Modi Govt’s Budget 2024; ‘Income Inequality & Obscene Wealth…’ | Watch

RJD Leader Manoj Jha took a swipe at the central government over the 2024 Union Budget. He discussed key issues in pre-budget consultations, noting that stall owners, trade unions, and other stakeholders have been excluded. In addition, he questioned the Centre on how well the budget upholds principles of dignity, justice, and equality, as mentioned in the preamble. Watch this video to know more.",,Left,https://www.hindustantimes.com/videos/manoj-jha-s-big-attack-on-modi-govt-s-budget-2024-income-inequality-obscene-wealth-watch-101722343442097.html
hindustantimes.com,Should you buy gold after recent price drop following Union Budget 2024?,"Gold prices on the MCX traded higher on Monday, July 29, after dropping more than 4% overall in July. The fall was primarily due to the government announcing customs duty cuts on gold in the Union Budget 2024. Gold prices on the MCX traded higher on Monday, July 29, after dropping more than 4% overall in July (Representational Image/Unsplash)



What are the current gold prices and the gold prices earlier in July?

Gold rates on the MCS was up by 0.35% or ₹242, trading at ₹68,428 for 10 grams, while silver gained even more at 0.66% or ₹538, trading at ₹81,909 per kg. Spot gold prices on the international market was $2,392.32, a gain of 0.21% or $5.13, according to Bloomberg data.

In the beginning of July, gold prices on the MCX hovered at ₹71,600 per 10 grams and hit a high of around ₹74,730 in the middle of the month. After the Union Budget 2024 was presented, the prices fell sharply, hitting a monthly low of around ₹67,400 last week.

What are some experts' views on gold prices?

However, gold prices are expected to rice due to increasing hopes of interest rate cuts by the US Fed, softness in US dollar index, escalating global geopolitical tensions, and increasing physical demand in domestic markets after duty adjustments, according to a Mint report, which quoted Ajay Kedia, Director, Kedia Advisory, who is also pessimistic on silver due to weak data from China and increasing gold-silver ratio.



The report also quoted Jigar Trivedi, Senior Research Analyst of Currencies & Commodities at Reliance Securities who said, “The Fed is likely to hold rates steady as the market largely discounts a rate cut in September. BoJ is forecast to increase the rate and the Bank of England may cut the rate under the new government. The dollar index is struggling around the 104.30 mark. Moreover, the US will also come out with July non farm payrolls number. Hence from an economic data point of view, the week is crucial.”

",Center,Center,https://www.hindustantimes.com/business/gold-prices-trade-higher-after-4-overall-drop-in-july-amid-fed-rate-cut-hopes-101722238698373.html
hindustantimes.com,Asaduddin Owaisi’s Poetic Attack On Modi Govt Over Budget 2024; ‘Aisey Dastoor Ko…’ | Lok Sabha,"Asaduddin Owaisi’s Poetic Attack On Modi Govt Over Budget 2024; ‘Aisey Dastoor Ko…’ | Lok Sabha

AIMIM Chief Asaduddin Owaisi accused the central government of neglecting ‘poor’ Muslims in the Union Budget 2024. Owaisi read lines from Pakistani poet Habib Jalib’s renowned Urdu nazm ‘Dastoor’ to criticise the Budget presented by Finance Minister Nirmala Sitharaman last week in Parliament. Watch this video to know more.",Center,Left,https://www.hindustantimes.com/videos/asaduddin-owaisi-s-poetic-attack-on-modi-govt-over-budget-2024-aisey-dastoor-ko-lok-sabha-101722253475075.html
hindustantimes.com,Nirmala Sitharaman rejects Opposition criticism on Budget 2024: ‘No state…’,"Finance minister Nirmala Sitharaman on Friday rejected criticisms of only Bihar and Andhra Pradesh being given importance in the latest Union Budget presented by her on July 23.



Opposition parties alleged that Bihar and Andhra, governed by Janata Dal (United) and Telugu Desam Party respectively, both members of ruling National Democratic Alliance, preferred over non-BJP states.



In an interview to NDTV, the minister said that states are receiving allocations as in the past. Stating that no state had been denied anything, the Andhra Pradesh Reorganisation Act requires the Centre to support the southern state in building its capital city and developing backward regions.







In the Union Budget 2024, the finance minister had announced a ₹15,000 crore allocation for the development of Andhra Pradesh's capital Amaravati. She also said that the government is committed to expediting the Polavaram Irrigation Project.







“Several steps have been taken in the last 10 years (and) many other steps, as per the Act, which had to be done have been done. Yes, we will support (the building of the new capital, Amaravati, and the Polavaram irrigation project) ... Polavaram should have been completed but there are some technical issues. The state government is seized of the matter,” the minister told NDTV.





Union Minister of Finance and Corporate Affairs Nirmala Sitharaman said the Andhra Pradesh Reorganisation Act required the Centre to help in building the state capital Amaravati(Sansad TV)",,Center-Right,https://www.hindustantimes.com/india-news/nirmala-sitharaman-rejects-opposition-criticism-on-budget-2024-no-state-101722001295478.html
hindustantimes.com,Nirmala Sitharaman on Budget 2024: ‘Want to give relief to middle class but...',"Finance minister Nirmala Sitharaman said that through the Union Budget 2024 the government aimed to provide relief to the middle class although there are limitations. The finance minister told Times Now, ""I want to relieve the middle class but I have limitations too. I want to give relief by reducing the tax rate and that is why the standard deduction rate has been increased from ₹50,000 to ₹75,000. By increasing the tax rate, the tax liability of the high income class also increases. The new tax regime was implemented with the aim of reducing the tax rate and has lower tax rates than the old tax regime."" Finance minister Nirmala Sitharaman attends the proceedings of the Lok Sabha during the Monsoon Session of the Parliament, in New Delhi.(SansadTV)

Read more: Union Budget 2024 reforms of the new tax regime may reduce tax burden and allow option to choose again

She said that she understands the challenges that the middle class faces as, “I am also from the middle class...and understand their problems.”

Before GST, different states imposed their own taxes on essential items, leading to varied prices across the country but now the process has standardized prices of essential goods nationwide, providing relief to the common people, she said.

What are income tax changes as per Union Budget 2024?

Budget 2024 proposed to change the income tax slabs under the new tax regime. The changes in the income tax slabs under the new tax regime will benefit people having taxable incomes upto ₹10 lakh. There is no change in the basic exemption limit under the old and new tax regimes. There is zero tax payable under the new tax regime if taxable incomes does not exceed ₹7 lakh. The proposed tax slabs are: 0 - ₹3,00,000 - 0%, ₹3,00,001- ₹7,00,000-5%, ₹7,00,001- ₹10,00,00-10%, ₹10,00,001- ₹12,00,000-15%, ₹12,00,001- ₹15,00,000- 20% and ₹15,00,001 and above - 30%.

Existing tax slabs under new tax regime are: 0 - ₹3,00,000 - 0%, ₹3,00,001- ₹6,00,000-5%, ₹6,00,001- ₹9,00,00-10%, ₹9,00,001- ₹12,00,000-15%, ₹12,00,001- ₹15,00,000- 20% and ₹15,00,001 and above - 30%.",,,https://www.hindustantimes.com/business/nirmala-sitharaman-on-budget-2024-want-to-give-relief-to-middle-class-but-101721882986506.html
