Outlet,Title,Text,Prelim-Rating,Human-Rating,URL
news18.com,"Income Tax Slabs Post Budget 2024: New Tax Regime Vs Old Tax Regime, Which One Is Beneficial for You?","With the announcement of the full Union Budget 2024-25, taxpayers in India are once again faced with the decision of choosing between the new tax regime and the old tax regime. Though the latest Budget has made the new tax regime more attractive, experts said it should still be seen on a case-by-case basis. Here’s the comparison of the income tax slabs under the new and old tax regimes for FY 2024-25, and which is more beneficial for different types of taxpayers.

Here are the income tax slabs for FY 2024-25:

New Tax Regime (FY 2024-25)

The new tax regime, introduced in the Budget 2020, aims to simplify the tax structure by offering lower tax rates while eliminating most deductions and exemptions. Here are the revised income tax slabs under the new tax regime for FY 2024-25:

Income up to ₹3 lakh: Nil

₹3 lakh – ₹7 lakh: 5%

₹7 lakh – ₹10 lakh: 10%

₹10 lakh – ₹12 lakh: 15%

₹12 lakh – ₹15 lakh: 20%

Above ₹15 lakh: 30%

2. Old Tax Regime (FY 2024-25)

The old tax regime allows taxpayers to claim various deductions and exemptions, such as HRA, LTA, and Section 80C, among others. The income tax slabs under the old tax regime for FY 2024-25 are as follows:

Income up to ₹2.5 lakh: Nil

₹2.5 lakh – ₹5 lakh: 5%

₹5 lakh – ₹10 lakh: 20%

Above ₹10 lakh: 30%

New Tax Regime vs Old Tax Regime: Which is Beneficial for You?

1. For Low-Income Earners (Up to Rs 5 Lakh)

“For individuals with an annual income of up to Rs 5 lakh, both regimes offer similar tax benefits due to the standard deduction under the old regime and the basic exemption limit in the new regime. However, the new tax regime might be slightly more advantageous due to its lower tax rates,” a tax expert said.

2. For Middle-Income Earners (Rs 5 Lakh – Rs 10 Lakh)

Middle-income earners who have limited investments and do not claim multiple deductions might find the new tax regime more beneficial due to its lower tax rates. On the other hand, those who extensively utilize deductions under Section 80C, 80D, and HRA may save more under the old tax regime, he added.

3. For High-Income Earners (Above Rs 10 Lakh)

“High-income earners who have significant investments and claim numerous deductions will likely benefit more from the old tax regime. The higher tax rates in the new regime may offset any savings made through lower tax rates if deductions are not claimed,” the tax expert said.

4. For Salaried Individuals

Salaried individuals with substantial exemptions like HRA, standard deduction, and Section 80C investments may find the old tax regime more favorable. The new tax regime, although simpler, may not offer the same level of tax savings for those who maximise their deductions, he said.

The expert, however, added that if no or very less investments or deduction options are available, the new tax regime is beneficial for salaried individuals also, he added.

“It is necessary to do a computation on both the regimes to conclude which regime is better for salaried individuals. However, for those who have no investments, the new tax regime is better,” he said.

5. For Self-Employed Individuals

Self-employed individuals with fewer opportunities to claim deductions may find the new tax regime more appealing. The lower tax rates and simplified structure can lead to significant tax savings for those who do not have substantial investments in tax-saving instruments.

“The choice between the new tax regime and the old tax regime for FY 2024-25 depends largely on the taxpayer’s income level, investment habits, and financial goals. While the new tax regime offers simplicity and lower rates, the old regime provides substantial savings through deductions and exemptions. Taxpayers should carefully evaluate their financial situation and consult a tax advisor if necessary to make the best decision,” the tax expert said.",Left,Center,https://www.news18.com/business/tax/income-tax-slabs-post-budget-2024-new-tax-regime-vs-old-tax-regime-which-one-is-beneficial-for-you-9022197.html
news18.com,Nirmala Sitharaman In Lok Sabha: No State Has Been Denied Money In Budget 2024,"Finance Minister Nirmala Sitharaman on Tuesday termed misleading claims by opposition leaders that if any state is not named in the Budget speech, then it does not get any budgetary allocation.

Replying to a Budget discussion in the Lok Sabha, Sitharaman asserted that no state was being denied money.

The Parliament Budget Session 2024 is currently underway. It commenced on July 22, 2024, and is scheduled to conclude on August 12, 2024.

She recalled that in the past Budgets by the UPA government also did not mention names of all states in their Budget speech.

“I have been picking up on Budget speeches since 2004-2005, 2005-2006, 2006-2007, 2007-2008 and so on. The Budget of 2004-2005 did not take the name of 17 states. I would like to ask the members of the UPA government at that time – did money not go to those 17 states? Did they stop it?” Sitharaman said.

She was responding to comments by several opposition members that the Budget has provided funds only to Bihar and Andhra Pradesh and nothing to other states.

Sitharaman said India is the fastest-growing economy globally and has overcome the after-effects of the pandemic due to heavy capex push.

She also said the government is complying with the fiscal deficit trajectory. It will bring down the deficit to below 4.5 per cent by 2025-26 from the targeted 4.9 per cent for the current fiscal. The deficit was 5.6 per cent in 2023-24.

She said a misleading campaign is being promoted. “It pains me to know that they could say that you are not mentioned in the budget speech, you get nothing.”

“In a budget speech if a state’s name is not mentioned, this does not mean the state does not get anything,” FM clarified.

She also said that it is wrong to say only two states benefitted from the budget.

FY25 budget has not given lesser allocation to any sector compared to last year, she highlighted.

The budget aims to achieve Viksit Bharat’s vision by 2047, FM said.

The reply from the Finance Minister was addressing issues and concerns raised by opposition parties. Members of Parliament are discussing various issues, including the Union Budget, the economic situation, and other matters of national importance.

Opposition parties on Monday tore into the Union Budget saying most of the states have got nothing in the first major economic document of the Modi 3.0 government.

Treasury benches on the other hand lauded the Rs 48.2 lakh crore Union Budget presented in Parliament on July 23 saying the country has made all-round development.

Participating in the general discussion on the budget, senior BJP leader Sudhanshu Trivedi reeled out data on GDP growth, rising foreign exchange reserves, declining fiscal deficit and a sharp increase in foreign remittances to highlight the achievements of the government on the economic front.

Seeking to counter the charges levelled by opposition parties during the discussion regarding government favouring corporates, Trivedi said the corporate taxes have been reduced to make the industry competitive.

He pointed out that global MNCs are shifting away their base from China where corporate tax is 25 per cent.

The BJP leader also lauded the central government’s work on controlling inflation.

On the Congress party’s charge that no person belonging to SC, ST and OBC was present at the traditional ‘halwa ceremony’ held before the budget, he said, “Ye woh log pooch rahe hain, jo 60 saal se khate rahe halwa aur janta ko khilate rahe balua. (Such remarks are being made by those who keep relishing halwa for 60 years but gave nothing to the people)”.

Congress member Imran Pratapgarhi said the budget has done injustice to states, youth, farmers, women and the middle class.

He said the finance minister has spoken only 10 words on inflation at a time when tomato prices have skyrocketed to Rs 100 per kg.

Pratapgarhi described the budget as “jhoot ka pulinda” (pack of lies) and a compilation of Prime Minister’s ‘Mann Ki Baat’.

Congress MP Rajeev Shukla criticised the budget on several counts and made a strong case for a review of several provisions in the GST law to help the MSME sector.

He also said there is huge unemployment in the country and its impact was visible on the BJP’s Lok Sabha seas tally.

Shukla wondered how jobs will be generated when the capital expenditure has been reduced by Rs 1 lakh crore.",Left,Center-Right,https://www.news18.com/business/economy/finance-minister-nirmala-sitharaman-union-budget-2024-25-discussion-reply-live-lok-sabha-8983838.html
news18.com,"'Taxes Like England, Services Like Somalia': AAP's Raghav Chadha Attacks Modi Govt's Budget 2024","Rajya Sabha MP Raghav Chadha on Thursday voiced strong criticism of the Union Budget 2024, presented by the NDA government in its third-consecutive term, and said, “India is paying taxes like England and receiving services like Somalia.”

During the general discussion on the Union Budget in the Rajya Sabha, he described the budget as disappointing, claiming it “failed to satisfy any section of society, including BJP supporters and voters.”

Chadha remarked, “Usually when a Union Budget is presented, some sections of society are happy while others are not. However, this time, the government has managed to displease everyone. Even BJP supporters are unhappy.”

Highlighting the burden of taxation, the AAP leader stated, “In the last 10 years, the government has been taking around 70-80 per cent of the public’s income through taxes such as Income Tax, GST, and Capital Gains Tax. What does the public get in return?”

He went on to question the quality of services provided by the government, saying, “We pay taxes like in England but receive services like in Somalia. What kind of world-class healthcare, transportation, and education is the government providing us?”

Commenting on the BJP’s performance in the recent Lok Sabha elections, the Rajya Sabha MP noted, “In 2019, the BJP government had 303 seats, but the people of the country imposed a GST of 18 per cent on those seats, bringing them down to 240.”

He attributed the BJP’s reduced seat count to economic issues, stating, “The primary reasons for this decline are economy, economy, and economy.”

Chadha pointed out that rural income growth is at a “decadal low” and that real rural wages have been “consistently declining” over the past 25 months. He also cited concerns about food inflation, unemployment, and per capita income.

Citing food inflation, unemployment and per capita income, among many others, as the reasons for the low number of seats, he sarcastically remarked that if these trends continue, the BJP could see an even more significant decline in seats, potentially falling to 120 seats in future elections.",Left,Left,https://www.news18.com/politics/taxes-like-england-services-like-somalia-aaps-raghav-chadha-attacks-modi-govts-budget-2024-8978736.html
news18.com,All Doubts Cleared: Govt Issues FAQs On Capital Gains Tax Rules Announced In Budget 2024,"The Union Budget 2024 has proposed simplifying the holding periods for capital gains by introducing only two durations: 12 months and 24 months, to determine short-term and long-term capital gains, respectively. Additionally, the tax rates have been streamlined and made uniform for most assets.

The indexation benefit has been removed in Budget 2024, while the exemption limit for Long-term Capital Gains (LTCG) on assets such as listed shares and mutual funds has been increased from Rs 1 lakh to Rs 1.25 lakh.

The tax rate for Short-term Capital Gains (STCG) has been raised to 20 percent, and the LTCG tax rate is now 12.5 percent for specific assets. Furthermore, the Securities Transaction Tax (STT) has been increased from 0.1 percent to 0.2 percent for equity transactions.

For investors seeking more information on the new capital gains tax proposals, the Central Board of Direct Taxes (CBDT) has issued a list of FAQs.

CBDT is a part of the Department of Revenue under the Ministry of Finance, Government of India.

Q1. What are the major changes brought about in the taxation of capital gains by the Finance (No.2) Bill, 2024?

Ans. The taxation of capital gains has been rationalised and simplified. There are 5 broad parameters to this rationalisation and simplification, namely:-

Holding period has been simplified. There are only two holding periods now, viz. 1 year and 2 year.

Rates have been rationalised and made uniform for majority of assets.

Indexation has been done away with for ease of computation with simultaneous reduction of rate from 20% to 12.5%.

Parity between Resident and Non-resident.

No change in roll over benefits.

Q2. What is the date when the new taxation provisions come into force?

Ans. The new provisions for taxation of capital gains come into force from 23.7.2024 and shall apply to any transfer made on or after 23.7.2024.

Q3. How has the holding period been simplified?

Ans. Earlier there were three holding periods for considering an asset to be a long- term capital asset. Now the holding period has been simplified. There are only two holding periods,- for listed securities, it is one year, for all other assets, it is two years.

Q4. Who will benefit from the change in holding period?

Ans. The holding period of all listed assets will now be one year. Therefore, for listed units of business trusts (ReITs, InVITs) holding period is reduced from 36 months to 12 months. The holding period of gold, unlisted securities (other than unlisted shares) is also reduced from 36 months to 24 months.

Q5. What about the holding period of immovable property and unlisted shares?

Ans. The holding period of immovable property and unlisted shares remains the same as earlier i.e. 24 months.

Q6. Elaborate on the change in the rate structure for STT paid capital assets?

Ans. Rate for short-term STT paid listed equity, Equity oriented mutual fund and units of business trust (Section 111A) has increased from 15 to 20%. Similarly the rate for these assets for long-term (S. 112A) has increased from 10 to 12.5%.

Q7. Is there any change in the exemption limit for long-term capital gains under section 112A which was earlier one lakh Rs.?

Ans. Yes. The exemption limit of 1 lakh for LTCG on these assets has also increased to 1.25 lakh Rs. This increased exemption limit will apply for FY 2024-25 and subsequent years.

Q8. Elaborate on change in the rate structure for other long-term capital gains?

Ans. The rate for other long-term capital gains on all assets has been rationalised to 12.5% without indexation (Section 112). This rate was earlier 20% with indexation. This will ease in simplifying the taxation of capital gains and their easy computation.

Q9. Who will benefit by a change in rate from 20% (with indexation) to 12.5% (without indexation)?

Ans. The reduction in the rate will benefit all categories of assets. In most cases, the taxpayers will benefit substantially. But where the gain is limited vis-a-vis inflation, the benefit will also be limited or absent in a few cases.

Q10. Can the taxpayer continue to avail the roll over benefits on capital gains?

Ans. Yes. The roll over benefits remain the same as earlier. There is no change in roll over benefits already available under the IT Act. Therefore, taxpayers who want to save on LTCG tax even with low rates, can continue to avail the roll over benefits on fulfilment of conditions as applicable.

Q11. In which assets, can the long-term capital gains be invested for roll over benefits?

Ans. For roll over benefits, taxpayers can invest their gains in houses under section 54 or section 54F or in certain bonds under section 54EC. For complete details of all roll over benefits, please refer to section 54, 54B, 54D, 54EC 54F, 54G of the IT Act.

Q12. What is the amount upto which roll over benefit is available?

Ans. Investment of capital gain in 54EC bonds (up to Rs. 50 lakh) and in other cases, the capital gain is exempt from tax, subject to certain specified conditions.

Q13. What is the overall rationale for changes?

Ans. Simplification of any tax structure has benefits of ease of compliance viz computation, filing, maintenance of records. This also removes the differential rates for various classes of assets.",Left,Center,https://www.news18.com/business/tax/budget-2024-cbdt-faq-on-capital-gain-tax-on-property-sale-ltcg-stcg-8977784.html
news18.com,Budget 2024: 10 Thriving Economies That Don't Levy Any Income Tax on Its Citizens,"Finance Minister Nirmala Sitharaman has unveiled the Union Budget 2024, sparking widespread discussion on its economic implications. The budget discourse is the issue of taxation, with public clamour for relief through tax cuts and exemptions. However, there exist several nations globally where governments do not levy any income tax on their citizens, yet their economies flourish robustly. Here are details on 10 such nations showcasing remarkable economic resilience:

United Arab Emirates (UAE)

Leading nation is the United Arab Emirates (UAE), notable for its absence of personal taxation. Instead, the government sustains itself through indirect taxes such as VAT and various duties. Fueled by robust sectors like oil and tourism, the UAE boasts a formidable economy.

Bahrain

Similar to Dubai, the government of Bahrain does not impose income tax on its citizens. Instead, it relies on indirect taxes to fund its expenditures. This system has fostered rapid growth in small businesses and startups, contributing to the overall improvement of Bahrain’s economy.

Kuwait

Kuwait, a tax-free country, does not levy income tax on its residents. With its economy predominantly reliant on oil revenues, the government foregoes the need for collecting taxes from its populace.

Saudi Arabia

Saudi Arabia does not impose income tax or direct taxes on its citizens. The country’s economy maintains a robust pace supported by its indirect tax system.

Bahamas

The economy of the Bahamas thrives on tourism, with the country refraining from collecting income tax from its residents. Each year, tourists from around the globe visit this destination, significantly bolstering its economic stability.

Brunei

As a nation with substantial oil reserves, the government of Brunei sees no need to impose taxes on its citizens.

Cayman Islands

Situated in North America, the Cayman Islands sustains its economy primarily through tourism, attracting visitors for its scenic beauty and holiday destinations. The government refrains from levying income tax on its residents.

Oman

Similar to Bahrain and Kuwait, Oman does not impose taxes on its citizens. The country sustains a robust economy through the sale of oil and gas.

Qatar

Like its Gulf neighbours, Qatar relies heavily on revenues from the oil industry. As a result, income tax is not levied on its populace. Despite its size, Qatar is wealthy due to its oil resources.

Monaco

Located in Europe, Monaco is a small yet economically strong country. It generates revenue primarily from tourism, allowing it to abstain from taxing its residents.",Left,,https://www.news18.com/business/budget-2024-despite-being-tax-free-economy-thrives-in-these-10-nations-8978724.html
news18.com,"Budget 2024: How Indexation Changes Bring Relief For Gold ETFs, FoFs, International Funds","The Union Budget 2024 has introduced changes to how capital gains on gold are taxed. Gold and silver exchange-traded funds (ETFs), equity and hybrid fund of funds (FoFs) and international schemes will again qualify for long-term capital gains (LTCG) tax benefits.

The holding period for investing in gold as long term capital gains has been brought down from 36 months to 24 months. Further, the benefit of indexation for LTCG calculation on gold has been removed.

What Did The Budget Say About Indexation?

According to Budget documents, mutual fund (MF) offerings, other than those that are equity or debt-oriented, will now qualify for long-term capital gains taxation of 12.5 per cent if held for over 24 months. At present, gold and silver ETFs and index funds, equity-oriented or hybrid fund of funds (FoFs) and international schemes are taxed at the investors’ income tax slab rate.

The change is likely to become effective on redemptions post April 1, 2026. According to MF officials, these offerings had unintentionally got classified as debt funds last year and this budget makes a course correction.

What Does This Mean?

Investors in mutual fund plans that allocate 35-65 per cent to equity, with the balance in debt, equity, or a mix of the two, will not get indexation benefits if they hold these instruments for three years or more after Tuesday’s budget announcements.

The new rules for capital gains on gold are applicable from July 23, 2024.

Previous rules

Under the previous rules, indexation i.e. adjustment of inflation price was allowed while calculating long term capital gains on the sale of gold or gold jewellery.

Indexation allowed for the reduction of taxable capital gains by increasing the cost of acquisition price as per an index that tracks changes in inflation.

Before the changes made by the Union Budget, you had to own gold for 36 months before capital gains on it’s sale would count as long-term and would get taxed at 20 per cent.

In 2023, the government had said that any MF scheme which invests less than 35 per cent of its corpus in domestic equities will no longer enjoy indexation benefits. The tax on such schemes was brought at par with bank deposits, which is the individual slab rate.

The tax change was primarily targeted at debt MF schemes, however, all MF offerings with less than 35 per cent exposure to domestic equities ended up losing the tax benefits.

Implications of the New Rules

These amendments simplify the taxation process for gold investors by reducing the holding period and tax rate for long-term capital gains while removing the complex indexation calculation.

Investors must now weigh the benefits of a lower tax rate against the removal of indexation when considering the sale of their gold assets.",Left,,https://www.news18.com/business/tax/budget-2024-indexation-changes-gold-etfs-fofs-international-funds-8976550.html
news18.com,"In Budget 2024, Nirmala Sitharaman Lists 9 Priorities, 4 Pillars of Modi Sarkar","Finance Minister Nirmala Sitharaman on Tuesday announced the Narendra Modi government’s nine priorities and four pillars to take the country forward as she presented the Union Budget for the year 2024-2025.

Sitharaman said the government will make sustained efforts on nine priorities for ‘Viksit Bharat’, listing them as productivity and resilience in agriculture, employment and skilling, improved human resources, social justice, manufacturing and services, urban development, energy security, infrastructure, innovation, research and development, and next-gen reforms.

“As mentioned in the interim Budget, we need to focus on four different sections: the poor, women, youth and the farmers,” the minister said as she presented her seventh budget.

Introducing the prime minister’s package of five schemes and initiatives to facilitate employment, skilling and other opportunities for 4.1 crore youth over five years with a central outlay of Rs 2 lakh crore, Sitharaman said: “This year, we have made a provision of Rs 1.48 lakh crore for education, employment and skilling.”

She added that the government has extended the PM Garib Kalyan Anna Yojana for five years, which is benefiting 80 crore people of the country.

The finance minister said people have given a unique opportunity to the Modi government to take India on the path of strong development, and all-round prosperity.

In the next two years, one crore farmers will be initiated in natural farming, she said. Large-scale vegetable production clusters would be promoted to increase output, she stated.

The government will release new 109 high-yielding, climate-resilient seeds for 32 field and horticulture crops.

According to her, implementation of various schemes announced in the interim budget in February is still underway.

Finance Minister Nirmala Sitharaman on Tuesday said the government will come out with a credit guarantee scheme for MSMEs to facilitate term loans without collateral or third party guarantee. She proposed central assistance of Rs 2.2 lakh crore for urban housing over the next five years.

As part of a slew of measures to boost the sector, the government will reduce the turnover threshold of MSME buyers for mandatory onboarding on TReDs platform from Rs 500 crore to Rs 250 crore.

TReDS is an online platform to help MSMEs (Micro, Small and Medium Enterprises).

Among other steps, SIDBI will open 24 new branches to serve MSMEs clusters. In the Budget, Sitharaman said Rs 2.66 lakh crore is being provided for rural development.

Further, the government will launch saturation drive under Pradhan Mantri Janjati Adivasi Nyaya Maha Abhiyan (PM JANMAN).

Stay informed with our comprehensive coverage of Union Budget 2024. Get the latest on new income tax slab rates for AY 2024-25 in Income Tax Slabs Budget 2024 LIVE Updates . Track the impact of Budget 2024 on the stock market in Stock Market Budget Day 2024 LIVE Updates. Watch Union Budget LIVE Streaming here",Left,,https://www.news18.com/business/economy/in-budget-2024-nirmala-sitharaman-lists-9-priorities-4-pillars-of-modi-sarkar-8975188.html
news18.com,"LTCG, STCG Raised: Capital Gains Get Taxing in Budget 2024, Market Reacts With Losses","Union Budget 2024: Retail investors could be hit hard, as the long-term capital gains tax (LTCG) on all financial assets, including equity, has been hiked to 12.5 per cent from 10 per cent with immidiate effect. Small traders would get a bigger hit, as the short-term capital gains tax has been raised to 20 per cent (with immediate effect) from 15 per cent earlier.

This will be effective from October 1. The only relief in the Budget 2024 was an increase the exemption limit of capital gains on financial assets to Rs 1.25 lakh from Rs 1 lakh earlier.

Long-Term Capital Gains: The tax rate on long-term capital gains for all financial and non-financial assets will rise from 10% to 12.5%. Additionally, the exemption limit for these gains has been set at Rs 1.25 lakh per year.

Short-Term Capital Gains: The tax rate on short-term gains from certain financial assets will increase from 15% to 20%.

The equity benchmark indices went into a freefall mode as the finance minister Nirmala Sitharaman announced a hike in long term capital gains tax.

Presenting the budget, Sitharaman emphasized India’s robust economic growth amidst global uncertainties. “India’s economic growth continues to be the shining exception and will remain so in the years ahead,” she stated. She also noted that while the global economy is performing better than expected, it faces significant policy uncertainties, with downside risks to growth and upside risks to inflation.

The FM listed Nine priorities for this year and coming years. These include Productivity and resilience in Agriculture, Employment and skilling, Inclusive HRD and social justice, Manufacturing and services, Urban development, Energy security, Infra, Innovation and R&D; and Next generation reforms. This focusses on job creation and boosting consumption, potentially benefiting consumer goods, real estate, and auto sectors.

What are the current tax rules for LTCG, STCG?

As per income tax rules, when an individual sells a capital asset, he/she can earn capital gains or losses. These capital gains or losses are categorised as short term or long-term depending on the nature of the capital asset and the period of holding specified for the asset for the purpose of this categorisation.

For instance, if the equity shares listed on a stock exchange are sold before 12 months are completed from date of purchase, then capital gains or loss will be categorised as short-term. If the listed equity shares are sold after completion of 12 months, then capital gains or loss will be categorised as long term. On the other hand, for unlisted equity shares, if sold before 24 months, the gains or loss will be called short term. If the unlisted equity shares are sold after 24 months, then gains.

Long-term capital gains, long term capital losses, short-term capital gains, and short term capital losses are abbreviated as LTCG, LTCL, STCG and STCL respectively.

Experts Talk

Shlok Srivastav, Cofounder & COO, Appreciate, “In all fairness, markets and the business ecosystem were anticipating some bid at “rationalisation” of the long term and short-term capital gains tax rates. The drastic revision of STCG from 15 per cent to 20 per cent makes sense given that there have been renewed murmurs vis-a-vis the overheating of the derivatives market. The recent statement by the market regulator that the growth in trading volume has now leapfrogged to a macro level concern from being a micro-one was a big hint that the government was actively looking to temper and moderate the action in the derivatives segment. Having said that, one must tip their hat to the government for killing two birds with one stone with the revision in LTCG. For serious long-term investors, the increase from 10% to 12.5% would hardly make a dent in the larger accounting of gains. At the same time, it will nudge investors into entering Indian markets with a reasonably long-term outlook and encourage them to step up as actual stakeholders in the Indian growth story. Sure, the LTCG hike would be a market sentiment dampener for some time but as we know from hindsight, capital market players are going to take this move into stride and move on.”

Shravan Shetty, Managing Director at Primus Partners, said: “The increase in long term capital gain will have a negative while the intent to reduce the euphoria in the market is right. But we believe increasing the long term capital gain by 25% to 12.5% will lead to investments move towards unproductive assets like gold and real estate. For a growing economy like India increasing penetration of capital markets is critical and this measure will reduce the acceleration seen in this direction over last few years.”

On capital gains tax in new tax regime, Rajarshi Dasgupta, Executive Director, AQUILAW says “The Long Term Capital Gains (LTCG) tax will rise from 10% to 12.5%, and the Short Term Capital Gains (STCG) tax on certain assets will increase from 15% to 20%. Short term gains on certain financial assets shall henceforth attract a tax rate of 20%, while that on all other financial assets and all non-financial assets shall continue to attract the applicable tax rate. The limit of exemption of capital gains on certain financial assets has been increased to Rs 1.25 lakh per year. In addition, Sitharaman also announced a hike in STT (securities transaction tax) on F&O (futures and options) securities by 0.02% and 0.1% in order to discourage retail investors from trading in the risky market segment.

The widening gap between STCG and LTCG rates is a clear incentive for longer-term holdings, which aligns with our view of creating sustainable wealth. This move is also a step towards standardising taxation across various asset classes, potentially simplifying the investment decision-making process for many.”",Left,,https://www.news18.com/business/tax/ltcg-stcg-raised-capital-gains-get-taxing-in-budget-2024-market-reacts-with-losses-8975567.html
news18.com,"This Year I've Provided ₹11.11 Lakh For Capital Expenditure"": FM Sitharaman - News18","""We will endeavor to maintain strong fiscal support for infrastructure over the next 5 years"": FM Sitharaman. This year I've provided ₹11.11 lakh for capital expenditure. This would be 3.4% of our GDP""",Left,,https://www.news18.com/videos/india/union-budget-2024-this-year-i-ve-provided-11-11-lakh-for-capital-expenditure-fm-sitharaman-8975426.html
news18.com,"Union Budget 2024: Nirmala Sitharaman Copied Internship and ELI Schemes From Our Election Manifesto, Says Congress","With Finance Minister Nirmala Sitharaman’s Union Budget 2024 focussing heavily on job generation, the Congress on Tuesday alleged that the government had borrowed heavily from the grand old party’s Lok Sabha election manifesto.

Sitharaman presented the Budget for 2024-25, her seventh straight presentation, surpassing the record of former prime minister Morarji Desai. This was the first Budget of Prime Minister Narendra Modi-led NDA government’s third term in office.

In her Budget speech, Sitharaman announced that the government will launch three employment-linked schemes. These schemes will be based on enrolment in the Employees’ Provident Fund Organization (EPFO), Sitharaman said in the Lok Sabha.

The first Congress reaction to the Budget came from Jairam Ramesh who credited Rahul Gandhi with bringing the unemployment crisis to national focus during the general elections.

Congress general secretary in-charge of communications Jairam Ramesh said: “After ten years of denial — where neither the non-biological PM nor his party’s Lok Sabha Elections Manifesto would even mention jobs — the Union Government seems to have finally come around to tacitly admitting that mass unemployment is a national crisis that requires urgent attention.”

After ten years of denial – where neither the non-biological PM nor his party's Lok Sabha Elections Manifesto would even mention jobs – the Union Government seems to have finally come around to tacitly admitting that mass unemployment is a national crisis that requires urgent…— Jairam Ramesh (@Jairam_Ramesh) July 23, 2024

Ramesh alleged that the budget announcement on facilitating internships was “clearly modelled” on Congress’s Nyay Patra 2024. As per Nirmala Sitharaman’s announcement, the scheme would provide internship in top 500 companies to 1 crore youth in five years. Interns will be given Rs 5,000 per month along with one time assistance of Rs 6,000.

“The Finance Minister has taken a leaf out of the INC’s Nyay Patra 2024, with its internship program clearly modelled on the INC’s proposed Apprenticeship Program that was called Pehli Naukri Pakki. However, in their trademark style, the scheme has been designed to grab headlines, with arbitrary targets…”

The Finance Minister has taken a leaf out of the INC's Nyay Patra 2024, with its internship program clearly modelled on the INC's proposed Apprenticeship Program that was called Pehli Naukri Pakki. However, in their trademark style, the scheme has been designed to grab… pic.twitter.com/1viGt9rgfg — Jairam Ramesh (@Jairam_Ramesh) July 23, 2024

Senior Congress leader P Chidambaram also took a swipe at the government over the Union Budget, saying he is glad that Finance Minister Nirmala Sitharaman read the Congress 2024 manifesto after the Lok Sabha poll results.

In a post on X, Chidambaram said: “I am glad to know that the Hon’ble FM has read the Congress Manifesto LS 2024 after the election results. I am happy she has virtually adopted the Employment-linked incentive (ELI) outlined on page 30 of the Congress Manifesto.”

“I am also happy that she has introduced the Apprenticeship scheme along with an allowance to every apprentice spelt out on page 11 of the Congress Manifesto. I wish the FM had copied some other ideas in the Congress Manifesto. I shall shortly list the missed opportunities,” the former finance minister said.

The move to claim credit for the internship scheme is also in keeping with the Congress’s attempts to woo the student community disillusioned by paper leaks and the NEET controversies. Rahul Gandhi, during his campaign rallies, had widely talked about the Congress’s promise to give Rs 1 lakh apprenticeship stipend for diploma holders below the age of 25 years. The central government scheme, however, does not put forth any such condition.

The Congress also claimed that much of the budget provisions have been picked up from the Congress manifesto, citing the employment-linked incentive as an example.

With the unemployment crisis being counted as a major factor in the BJP’s diminished performance in the Lok Sabha elections, it does not come as a surprise that job generation is the big focus in the Union Budget 2024.

Finance Minister Nirmala Sitharaman also said the government plans to raise capital gains exemption limit on certain financial assets to Rs 1.25 lakh per year for middle and upper middle class.

Presenting the Budget for 2024-25, she announced a hike in STT (securities transaction tax) on F&O (futures and options) securities by 0.02% and 0.1%. Income receipt on share buyback will be taxed in the hands of recipients, Sitharaman added.

The Finance Minister further announced abolishing angel tax for all classes of investors in startups. “First of all, to bolster the Indian startup eco-system, boost the entrepreneurial spirit and support innovation, I propose to abolish the so-called angel tax for all classes of investors,” she said.

The removal of the angel tax is expected to be a boost for startups as it will help in promoting a more conducive environment for them.

Stay informed with our comprehensive coverage of Union Budget 2024. Get the latest on new income tax slab rates for AY 2024-25 in Income Tax Slabs Budget 2024 LIVE Updates . Track the impact of Budget 2024 on the stock market in Stock Market Budget Day 2024 LIVE Updates. Watch Union Budget LIVE Streaming here",Left,,https://www.news18.com/business/economy/union-budget-2024-nirmala-sitharaman-copied-internship-and-eli-schemes-from-our-election-manifesto-says-congress-8975468.html
