Outlet,Title,Text,Prelim-Rating,Human-Rating,URL
thehindu.com,"FM Nirmala Sitharaman on Budget 2024: Union Budget strikes a fine balance between growth, employment, capital investment, and fiscal consolidation","Replying to the debate on the Union Budget in Rajya Sabha on Wednesday where more than 80 elders participated, Union Finance Minister Nirmala Sitharaman said the transfer of resources to the States is going unhindered and the inferences that she mentioned just two States in the budget was a propaganda created by the INDIA bloc to mislead the people.

Comparing the allocation to various social sectors and the devolution of taxes to the States under the UPA and NDA regimes, she said the Narendra Modi-led government implemented the concept of cooperative federalism by giving due share to all States.

Countering the allegation that the Budget mentions just two States, Andhra Pradesh and Bihar, Ms. Sitharaman said the Opposition created a propaganda to mislead people. “The Budget is for all States,” she said adding that the practice of mentioning the names of all States was not there during the UPA regime too. “If a State has not been mentioned in the speech, it does not mean there is no allocation for it,” she said.

She said it was wrong to calculate devolution based on gross tax receipts, and then allege that the Centre is devolving less than what is suggested by the Finance Commission. “I would like to underline our unflinching commitment to cooperative federalism. The total resources proposed to be transferred to the States in 2024-25 are estimated at ₹22.91 lakh crore. This actually entails an increase of ₹2.49 lakh crore over 2023-24,” she said.

Ms. Sitharaman said the capital expenditure too increased manifold during the last 10 years. The capital expenditure, she said, is estimated at ₹11.11 lakh crore. “This is the biggest ever allocation for capital expenditure and it shows increase of about 17% over the revised estimates and provisional actuals of 2023-24,” she said and added that during the 10 years of the UPA, it was ₹13.19 lakh crore. “Whereas during our tenure from 2014 to 2024, the allocation for capex has been ₹43.82 lakh crore from 2014-15 to 2023-24,” she said.

Replying to the discussion on the Budget of Jammu and Kashmir, she said the financial condition of the Union Territory has improved in the last two years. Earlier practices of running ‘hundis’ and overdrafts from J&K Bank have been discontinued and the day-to-day cash management is much healthier than the past, she said. “During the last four years, J&K Bank has made a remarkable turnaround. From a loss of ₹ 1,139 crore in 2019-20, the bank had a profit of ₹1,700 crore in the year 2023-24,” she added.

On the conduct of NEET medical entrance tests, she said the entrance examination has ensured cost-effective medical education for families. “Certainly, it has hurt some vested interests, particularly those in the medical education field because no longer selling medical seats is possible. Therefore, it has hurt a lot of people. That is why a particular lobby was actively against NEET even before this NEET leak issue has come up,” she said.

On the Agnipath military recruitment scheme, the Minister said the scheme will ensure that India has younger soldiers who are on the frontline. “One of the expected outcome of the scheme is that armed forces will have a much younger force by recruiting those in the age group of 17.5-21 years,” she said. “And I don’t think there is a need for us to unnecessarily worry that this is causing some kind of distortion. Not at all. It is with the acceptance of the armed forces that it has been brought in,” Ms. Sitharaman added.",Left,Center-Right,https://www.thehindu.com/business/budget/union-budget-strikes-a-fine-balance-between-growth-employment-capital-investment-and-fiscal-consolidation-fm-nirmala-sitharaman-tells-rajya-sabha/article68468428.ece
thehindu.com,Parliament Monsoon Session Highlights: Opposition MPs raise Delhi coaching centre deaths,"July 29, 2024 13:39

Mainpuri MP Dimple Yadav proposes formative changes required in the country

Speaking at the discussion of the Union Budget, Samajwadi Party MP Dimple Yadav argued that reformative changes and evolution can come in the country even after eleven years, however, it would require “dedication and concentration”. Ms Yadav proposed that instead of focussing on the past, it was imperative that government acts responsibly and responds adequately to evolving situations.

During her address, the Mainpuri MP touched upon various issues relevant to agriculture and employment.

About agriculture, Ms Yadav sought what the treasury had allocated for building necessary agricultural infrastructure, building mandis in Uttar Pradesh and towards cattle management. She also sought the government to put forth how much allocation has been curtailed for crop insurance.

About unemployment, the Mainpuri MP sought that the government must ensure 100 days of wages under MNREGA. She put forth that employment was as high as 9.2% with unemployment among women being further high at 18.5%.

With respect to education, Ms Yadav accused the treasury of having curtailed funds to the UGC. According to her, the intent of the treasury in this regard was “questionable”.

In her address, Ms Yadav also sought the intervention of both the central and state govts to make operational the Cancer Institute in Lucknow. “Cancer cases are on the rise in the country. I am sure that making operational the institute would be a step towards according affordable treatment,” she told the house.",Left,,https://www.thehindu.com/news/national/parliament-session-live-updates-july-29/article68459144.ece
thehindu.com,What are the political implications? - The Hindu,"In a Budget speech sans poetry but filled with political pragmatism, Finance Minister Nirmala Sitharaman kept her focus on addressing youth unemployment, while also offering special packages to keep crucial allies — the Telugu Desam Party (TDP) governing Andhra Pradesh, and the Janata Dal (U) in power in Bihar — on her side.

Rising unemployment, the lack of avenues to government jobs, and the leakage of question papers for recruitment exams even when vacancies were announced were all issues that weighed heavily on the BJP in the recent Lok Sabha election. In the Union Budget for this year, therefore, this sector has been addressed via a series of incentive schemes that will, it is hoped, help young, first-time job seekers with finding employment.

Script and Presentation: Nistula Hebbar

Production: Kanishkaa Balachandiran and Yuvasree S",Left,,https://www.thehindu.com/news/national/watch-union-budget-2024-what-are-the-political-implications/article68456852.ece
thehindu.com,"Budget 2024: New job schemes to kick off this year, says Finance Secretary T.V. Somanathan","The government is confident of launching the schemes in the Prime Minister’s package for employment and skilling announced in last week’s Budget within this financial year. That includes the internship program for one crore youth in 500 top companies, whose design details will be worked out in consultation with the industry, Finance Secretary T.V. Somanathan said.

“We expect all of these schemes to start off within this financial year… We have tried to make sure the coverage of the employment-linked incentive schemes is, as far as possible, widespread, and not tried to make technological, sectoral choices. While Scheme A and C are for all industries, Scheme B is for manufacturing jobs,” Mr. Somanathan told The Hindu.

High salary cut-off

The top Finance Ministry official also said that the decision to incentivise hiring for first-timers with a salary limit of ₹1 lakh per month was aimed at keeping the schemes sector-neutral. “I agree ₹1 lakh is high, but it’s not so if you’re trying to cover the hiring of people with sophisticated skills, or knowledge of AI [Artificial Intelligence],” he said, adding that the schemes could spur new jobs in areas under threat from the advent of technologies like AI.



Referring to the recent tendency of large tech firms to defer joining dates for fresh recruits, the Secretary said that it was precisely for this reason that the government did not want to exclude such people. “We don’t want to leave out the services or any sector from possible incentivisation if it will create jobs. We don’t want to focus only on employees who draw up to ₹25,000 a month. You can pay the employee even one lakh, but our fiscal outgo is limited to the ₹25,000 level, but even 24% of that works out to 12% of a ₹50,000 salary, which is still a substantial subsidy,” he emphasised

“We don’t know where these salary figures stop. In some of these industries, even fresh hires get more than ₹50,000 to ₹60,000. But we have capped our outgo so the incentive is strongest for those earning ₹25,000,” the official noted.

‘Nothing to lose’

The new scheme to facilitate internships for youth in the age bracket of 21 to 24 years has no connection with the Pradhan Mantri Kaushal Vikas Yojana 4.0 announced in the Union Budget for 2023-24, and will be administered by the Ministry of Corporate Affairs, not the Ministry of Skill Development, Mr. Somanathan underlined.

“While the Skill Development Ministry will be involved, this is very different,” he said, stressing that the scheme is voluntary and will not require firms to invest funds from their own pockets, but rather through their mandated corporate social responsibility (CSR) spends, combined with government resources.

“This particular scheme has not been discussed with industry chambers, but they have repeatedly said they are willing to collaborate on skilling because they see it as a national problem. We think many companies will respond positively. They have nothing to lose and everything to gain,” he averred, adding that firms are not expected to hire these interns.

Bridging the gap

“We are also open to the company doing the skilling through companies in the backward or forward supply chains, if they can’t do it themselves. We will work out the details. It’s an innovative approach and there will be design challenges. But I think we have to do something innovative to bridge the gap [between skill sets of the young and industry needs] and break this barrier,” Mr. Somanathan underlined.

The employment prospects of these interns will improve after their resumes, which previously said ‘no experience’, can add a year-long internship with a big company, Mr. Somanathan pointed out.

“This is a space where frankly, while everybody agrees that something is to be done, very few people have concrete ideas on what can the government do to promote employment. We are relying on basic micro economics, that a subsidy triggers additional expenditure in the item which is subsidised,” he summed up.

Edited excerpts:

‘The trajectory of the road is downhill in terms of debt to GDP’",Left,Center-Right,https://www.thehindu.com/business/budget/budget-has-steps-to-trigger-consumption-but-they-are-not-in-the-nature-of-direct-cash-transfers-says-finance-secretary-tv-somanathan/article68457785.ece
thehindu.com,Union Budget 2024: Real estate sees marginal benefits,"Covering a wide spectrum of Indian sectors, the first Union Budget of Modi 3.0 focused on MSMEs, employment, skilling, youth, and the middle class. Yet, the Budget as such has failed to address several concerns of the real estate sector, including direct incentives to boost the affordable housing sector. It was widely anticipated that affordable housing will get a major boost in the current Budget because its performance has been on a decline.

With an eye on the housing needs of the urban poor and the middle class, the government has announced that it intends to construct an additional one crore homes under PMAY Urban 2.0 with an outlay of ₹10 lakh crore. It remains to be seen how effectively this would work for the benefit of those in the affordable housing segment.

Mega allocation for the Hyderabad-Bengaluru industrial corridor and Vizag-Chennai corridor will boost growth along these corridors and consequently boost real estate growth there. The Finance Minister also tried to rejuvenate the MSME (Ministry of Micro, Small and Medium Enterprises) sector, which does have a multiplier effect on overall economic growth — with the implied positives for real estate being a collateral beneficiary of such growth.

The credit guarantee scheme for MSMEs will help provide impetus to overall industrial development, and this can have a rub-off effect on the real estate sector. The pandemic had a catastrophic impact on the MSME sector, which slowed down the demand for affordable housing from 2020. Affordable housing demand may gain momentum once the economic impact of the pandemic subsides for this target audience.

This is certainly pertinent — the affordable homes category (less than ₹40 lakh) has been seeing a decline in overall sales since the pandemic, to approximately 19% in H1 2024 from over 38% in the period before the pandemic in 2019. Consequently, this segment’s percentage share of the total housing supply in the top 7 cities also fell to 18% in H1 2024 from nearly 40% in 2019. Any boost to this vital segment is therefore welcome.

For individual taxpayers under the new tax regime, the increased standard deduction limit to ₹75,000 from the previous ₹50,000 along with the new income tax slabs implies savings, but hardly enough to boost housing demand.

With regards to the withdrawal of indexation benefits announced in the Budget, factors such as the amount of appreciation will determine whether the new tax (minus indexation) will be advantageous or disadvantageous for sellers. It is best to consult a tax expert for this, but as it seems now, when the difference between the purchase price and the sale price (in a 10-year period) is higher (say, more than 2-2.5 times), then the new tax regime without indexation is more lucrative for the buyers.

However, when the difference between the purchase price and sale price is lower, then the old tax regime with indexation is more lucrative for the buyers.

The writer is Chairman, ANAROCK Group.",Left,,https://www.thehindu.com/real-estate/union-budget-india-real-estate-government-schemes-money-plans/article68436412.ece
thehindu.com,Budget 2024: Congress to protest against Centre in Chennai on July 27,"Tamil Nadu Congress Committee president K. Selvaperunthagai on Friday, July 26, 2024 announced his party will stage a demonstration on Saturday condemning the Union government for allegedly ignoring Tamil Nadu in the Union Budget 2024.

In a statement, Mr. Selvaperunthagai alleged that the BJP was not able to tolerate rejections by people of Tamil Nadu in 2019, 2021 and 2024 elections. “Instead of serving the whole country, Prime Minister Narendra Modi had been showing discrimination in allocation of funds to States ruled by the INDIA bloc, including Tamil Nadu. Mr. Modi had allocated more funds to a few States, only to save his government.”

The Congress leader, in his statement, listed several projects proposed in Tamil Nadu including All India Institute of Medical Science at Madurai, Metro rail projects in Coimbatore and Madurai, and said the progress of these projects were halted for political reasons. He also alleged that the Centre had released only ₹276 crore for flood relief against ₹37,000 crore demanded by the State government.

He said his party would stage a demonstration near the head post office at Anna Salai in Chennai on Saturday against the Centre.",Left,Center Left,https://www.thehindu.com/news/national/tamil-nadu/budget-2024-congress-to-protest-against-centre-in-chennai-on-july-27/article68449177.ece
thehindu.com,"‘Budget 2024-25 transformative, forward looking’","Industry leaders and representatives have termed the Union Budget presented by Finance Nirmala Sitharaman “transformative and forward looking due to its emphasis on capacity building and boosting agricultural production.”

Neeraj Akhoury, President, Cement Manufacturers’ Association (CMA) and Managing Director, Shree Cement Ltd. said, “Against the backdrop of global uncertainties and inflation, the Union Budget 2024-25 is transformative and forward looking with an eye on fiscal consolidation.”

“The announcement of ₹11 lakh crore capital expenditure signifies the Government’s commitment to modernising India’s infrastructure through various significant projects and allocations, which will undoubtedly drive demand for cement and other building materials,” he added.

Abhinandan Lodha, Chairman, The House of Abhinandan Lodha said, “The 2024-2025 Budget is a growth-centric blueprint with profound implications on employment and employability through real estate, infrastructure, and tourism.”

“This Budget marks a significant shift towards holistic growth, focusing on affordable housing. The allocation of ₹2.2 lakh crore for constructing one crore houses in urban areas and two crore houses in non-urban areas demonstrates the government’s commitment to improving living standards,” he added.

Arun Alagappan, Executive Chairman, Coromandel International Ltd., said, “With agriculture remaining the backbone of the Indian economy, we welcome the Union Budget’s emphasis on ensuring food security, strengthening rural economy, as well as building resilience and productivity in agriculture.”

“The proposed comprehensive review of the agricultural research setup to focus on improving productivity and developing climate resilient crops will lend an impetus to ensuring that Indian agriculture can withstand climate impact. The initiative to bring together experts from both the government and the private sector will lend a much-needed fillip to the R&D in the agri sector,” he added.

N. Venu, MD & CEO, India and South Asia, Hitachi Energy said, “The Union Budget presented by the Finance Minister took a strategic middle path and democratised growth for the people through modernising agriculture, jobs in manufacturing, urban development, energy access and energy security.”

“The proposed bill did not single out any specific industry, instead the thrust was on job creation. It focused on the employee-employer experience from incentivising integration of new, young and diverse people into the workforce to using private sector as partners for skilling of future talent,” he added.

N.D. Mali, Founder, KDM in a statement said, “Tax reduction of up to 15% on mobile phones, mobile PCBs, and chargers is expected to boost domestic manufacturing and benefit customers. The Budget focus on employment, skilling and middle class will spur consumer spending, which, in turn, would stimulate economic growth.”

“The fiscal prudence of 4.9% and increased outlay of capex will put more money in the hands of people and general consumer sentiment will increase. The Budget will further charge the economy of Bharat,” he added.

Sanjay Salunkhe, CMD, Jaro Education said “The Budget has struck the right balance to enhance the education and employment sector. The Finance Minister’s financial support for loans up to ₹10 lakh for higher education in domestic institutions is a commendable initiative.”

“This will provide ample opportunities for upskilling the youth and budget emphasis on education, skilling, and job creation will foster long-term growth for corporates like us who have been striving to make youth of the country employable,” he added.",Left,Center Right,https://www.thehindu.com/business/budget-2024-25-transformative-forward-looking/article68446846.ece
thehindu.com,Budget 2024 Analysis: A look at the sector-wise allocations in ten charts,"Union Finance Minister Nirmala Sitharaman, on Tuesday, presented the first Union Budget of the third term of the Narendra Modi-led NDA government. The Hindu Data team has compiled a series of graphs to analyse the impact of the Budget on select sectors and schemes.

Data shows that expenditure as a share of the total budget on infrastructure has increased. In contrast, expenditure on major schemes in the social sectors, which includes education, pension and health, have either stagnated or declined. Spending on agriculture too, when considered as a share of the total budget, has stagnated.

Before delving into individual sectors and schemes, the graph below provides an overview.

The graph below depicts the budgeted expenditure (Rs crore) for FY25BE and the change from FY24RE in percentage points. The bigger the rectangle, the higher the allocation for a sector. The deeper the blue, the higher the increase compared with FY24RE. The deeper the red, the higher the decrease compared with FY24RE.

As usual, interest payments garnered a lion’s share of the budget this year. In absolute figures, Rs 11,62,940 crore was allocated for interest payments. If expressed as a share of FY25BE’s total Budget, it comes to 24.12%, which is 0.62 percentage points more than its share in FY24RE. Apart from interest payments, the transport sector formed the bulk of the expenditure in FY25BE at 11.29%. However, transport’s share in the total Budget came down by 0.4% points from last year.

Click to subscribe to our Data newsletter

The allocation to agriculture remained stagnant at around 3.1% of the total budget. Allocation to flagship schemes such as Pradhan Mantri Fasal Bima Yojana (PMFBY) and Pradhan Mantri Kisan Samman Nidhi (PMKSN), as a share of total budget, declined in FY25BE.

Defence expenditure as a share of the total Budget declined to 9.43%, the lowest in at least nine years. In fact, defence expenditure in absolute terms has also declined. Allocations to the departments of Space have stagnated, while the Science and Technology ministry’s share in total Budget has improved slightly to 0.17%.

Allocations to all the schemes under the Space sector, as a share of total budget, have stagnated.

Allocations for various social sectors such as health, rural development and education as a share of the total budget have stagnated or declined, with the social welfare sector being the only exception – whose share improved to 1.17% of the total budget in FY25BE.



Outlays to schemes under social sectors such as MGNREGA, Samagra Shiksha, Ayushman Bharat, old age pension, widow pension, Swasthya Suraksha, have all declined in the recent years. Allocation to Ayushman Bharat has remained more or less the same in recent years after a sharp increase seen in FY23.

The Transport sector on the other hand has formed a bulk of this year’s expenditure. Allocation to the Ministry of Road Transport and Highways (MORTH) and the telecom department has remained consistently high. Allocations to the power sector too have improved marginally from last year.

While the outlays to implement housing in urban & rural areas, and other basic amenities in urban areas improved marginally in FY25BE, allocations to smart city missions, as a share of the total Budget, has plunged.

In FY25BE, the Railway Ministry outlay in the overall budget continued to be over the 5% mark. Allocations for the signalling and telecom works, under which KAVACH (automatic train collision system for trains) is included, increased compared with FY24RE

However, allocations for the Aviation Ministry which has remained consistently low in recent years declined marginally. The outlay for the Shipping Ministry has also stagnated.

Source: Budget Documents

",Left,,https://www.thehindu.com/data/analysis-of-union-budget-2024-sector-wise-impact/article68446110.ece
thehindu.com,Budget 2024: DMK to hold State-wide demonstration in T.N. on July 27,"The Dravida Munnetra Kazhagam (DMK) has announced State-wide demonstration on July 27, to condemn what it called the “step-motherly treatment meted out to Tamil Nadu” in the Union Budget by the “fascist BJP government” at the Centre.

In a statement, the party alleged that instead of presenting a Budget common to all States in the country, the BJP government had favoured a few states for its survival. “It has spewed vendetta on Tamil Nadu which has been contributing to the development of the country,” the party said.

Already Chief Minister M.K. Stalin expressed his displeasure over the Budget, and said he would not participate in the NITI Aayog meeting to be held in Delhi.

The party said there was no allocation for the metro rail projects and the two natural disasters faced by the state.",Left,,https://www.thehindu.com/news/national/tamil-nadu/budget-2024-dmk-to-hold-state-wide-demonstration-in-tn-on-july-27/article68444847.ece
thehindu.com,Budget 2024: Hemant Soren accuses Centre of neglecting Jharkhand,"The Jharkhand Chief Minister Hemant Soren slammed the Centre for neglecting the State in the Union Budget presented by Finance Minister Nirmala Sitharaman and alleged that Bharatiya Janata Party leaders are silent over the dues from the Centre. He also claimed that the Centre owes ₹1.36 lakh crore to the State and demanded that its dues be paid by the Union government.

Reacting on the 2024 Budget, Mr. Soren said on X (formerly Twitter) account, “Is Hemant Soren guilty of this discrimination, Babulal Marandi ji? Centre owes us ₹1.36 thousand crore but every BJP leader including Babulal ji is silent on this issue. Give a special package to the political parties that support you and pay our dues. Raghubar Das had left behind DVC’s dues of ₹5,000 crore - which the Centre had deducted from our account without informing us and BJP leaders were clapping. Why are we being neglected despite giving 12 out of 14 MPs in 2014 -2019 and today 9 MP.”

In charts: Key takeaways from Union Budget 2024-25

He also made an indirect attack on the Narendra Modi government for giving special packages to Bihar and Andhra Pradesh because Nitish Kumar led Janata Dal-(United) and Chandrababu Naidu’s Telugu Desam Party (TDP) are the key alliance partners supporting the government at Centre.

Mr. Soren further said, “Jharkhand BJP has maintained silence on the friendly Budget presented yesterday. No leader is ready to say anything and secretly admitting that nothing could be worse than this. They are also angry that Jharkhand did not get anything but not ready to say anything due to fear. The people of Jharkhand have neither any expectation nor any hope of getting their rights from such cowardly/sycophantic leaders. Jharkhand always gave the maximum number of MPs to BJP but in return we got only disrespect. Note - After this tweet, maybe their self-esteem will rise and they will show the strength to say something, but the whole expectation is of flattery only.”

Announcing a host of developmental projects in the Union Budget, Ms. Sitharaman proposed a total outlay of ₹58,900 crore for various projects in Bihar, where Assembly elections are due next year, and ₹15,000 crore for the 2024-25 fiscal for the development of Andhra Pradesh’s capital city, a dream project of Mr. Naidu.

Asked about the allegation levelled by Mr. Soren, Jharkhand BJP spokesperson Pratul Sahdev described the budget as inclusive and taking care of all sections.

He said that Jharkhand will directly benefit from the road map for the development of the Purvodaya Yojana and eastern India will also catch the pace of development like the rest of the country.

“With the continuation of funding of the Aspirational District Scheme, 19 districts of Jharkhand will continue to receive central funds directly. The development of tribal-dominated Jharkhand will accelerate with the start of the Tribal Advanced Village Scheme. Apart from this, Jharkhand will definitely get a share of all the schemes of the Centre. Mudra loan has so far helped in providing self-employment to more than 30 crore people. By increasing its limit to ₹20 lakh, small businessmen and those starting a new business will get a big benefit,” Mr. Sahdev told The Hindu.",Left,Left,https://www.thehindu.com/business/budget/budget-2024-cm-hemant-soren-slams-bjp-led-centre-for-neglecting-jharkhand/article68440268.ece
